ROUND,PICK,TEAM,PLAYER,POS,AGE,COLLEGE,YRS,TOTAL VALUE,SIGNING BONUS,2016 CAP
1,4,DAL,Ezekiel Elliott*+\ElliEz00,RB,20,Ohio State,4,24956341,16350066,4537516
2,45,TENf,Derrick Henry\HenrDe00,RB,21,Alabama,4,5407928,2133038,983259
3,73,MIA,Kenyan Drake\DrakKe00,RB,22,Alabama,4,3381260,821260,655315
3,90,SEA,C.J. Prosise\ProsC.00,RB,21,Notre Dame,4,3112464,692464,623116
4,119,HOU,Tyler Ervin\ErviTy00,RB,22,San Jose State,4,2887569,547569,586892
4,134 (C),BAL,Kenneth Dixon\DixoKe00,RB,22,Louisiana Tech,4,2723393,383393,545848
4,136 (C),DEN,Devontae Booker\BookDe00,RB,23,Utah,4,2723393,383393,545848
5,143,OAK,DeAndre Washington\WashDe00,RB,23,Texas Tech,4,2609195,269195,517298
5,149,NYG,Paul Perkins\PerkPa00,RB,21,California-Los Angeles,4,2592548,252548,513137
5,150,CHI,Jordan Howard*\HowaJo00,RB,21,Indiana,4,2588022,248022,512005
5,153,PHI,Wendell Smallwood\SmalWe00,RB,22,West Virginia,4,2584578,244578,511144
5,156,BUF,Jonathan Williams\WillJo07,RB,22,Arkansas,4,2580915,240915,510228
5,171 (C),SEA,Alex Collins\CollAl00,RB,21,Arkansas,4,2524385,184385,496096
6,211 (C),SF,Kelvin Taylor,RB,22,Florida,4,2440356,100356,475089
6,216 (C),DAL,Darius Jackson,RB,22,Eastern Michigan,4,2440356,100356,79410
7,236,DET,Dwayne Washington\WashDw00,RB,22,Washington,4,2415764,75764,468941
7,237,NO,Daniel Lasco\LascDa00,RB,23,California,4,2415479,75479,468869
7,242,WAS,Keith Marshall,RB,22,Georgia,4,2405550,65550,466388
7,247,SEA,Zac Brooks,RB,23,Clemson,4,2402499,62499,465624
