ROUND,PICK,TEAM,PLAYER,POS,AGE,COLLEGE,YRS,TOTAL VALUE,SIGNING BONUS,2017 CAP
1,4,JAC,Leonard Fournette\FourLe00,RB,22,Louisiana State,4,27150842.00,17886067.00,4936516.00
1,8,CAR,Christian McCaffrey\McCaCh01,RB,20,Stanford,4,17241304.00,10679128.00,3134782.00
2,41,MIN,Dalvin Cook\CookDa01,RB,21,Florida State,4,6353334.00,2760607.00,1065680.00
2,48,CIN,Joe Mixon\MixoJo00,RB,20,Oklahoma,4,5450174.00,2103763.00,990940.00
3,67,NO,Alvin Kamara*\KamaAl00,RB,21,Tennessee,4,3857772.00,972772.00,708193.00
3,86,KC,Kareem Hunt*\HuntKa00,RB,21,Toledo,4,3285722.00,775952.00,658988.00
3,89,HOU,D'Onta Foreman\ForeDO00,RB,21,Texas,4,3259984.00,759484.00,613574.00
3,105 (C),PIT,James Conner\ConnJa00,RB,21,Pittsburgh,4,3161523.00,706288.00,627807.00
4,114,WAS,Samaje Perine\PeriSa00,RB,21,Oklahoma,4,3059781.00,659781.00,629945.00
4,119,CHI,Tarik Cohen\CoheTa00,RB,21,North Carolina A&T,4,3035658.00,635658.00,623914.00
4,121,SF,Joe Williams,RB,23,Utah,4,3029384.00,629384.00,505346.00
4,132,PHI,Donnel Pumphrey,RB,22,San Diego State,4,2975888.00,575888.00,498845.00
4,134,GB,Jamaal Williams\WillJa06,RB,22,Brigham Young,4,2965992.00,565992.00,606498.00
4,140,NYG,Wayne Gallman\GallWa00,RB,22,Clemson,4,2819648.00,419648.00,569912.00
4,143 (C),IND,Marlon Mack\MackMa00,RB,21,South Florida,4,2819648.00,419648.00,569912.00
5,156,ATL,Brian Hill\HillBr02,RB,21,Wyoming,4,2669248.00,269248.00,532312.00
5,162,TB,Jeremy McNichols,RB,21,Boise State,4,2663778.00,263778.00,530944.00
5,179 (C),ARI,T.J. Logan,RB,22,North Carolina,4,2601937.00,201937.00,398484.00
5,182 (C),GB,Aaron Jones\JoneAa00,RB,22,Texas El-Paso,4,2601937.00,201937.00,515484.00
6,188,NYJ,Elijah McGuire\McGuEl00,RB,22,Louisiana-Lafayette,4,2568505.00,168505.00,507126.00
6,203,DENf,De'Angelo Henderson\HendDe01,RB,24,Coastal Carolina,4,2545153.00,145153.00,501288.00
7,238,GBf,Devante Mays\MaysDe00,RB,22,Utah State,4,2475036.00,75036.00,483759.00
7,241,TEN,Khalfani Muhammad,RB,22,California,4,2470487.00,70487.00,482621.00
7,242,OAK,Elijah Hood,RB,21,North Carolina,4,2469750.00,69750.00,482437.00
7,249,SEA,Chris Carson\CarsCh00,RB,22,Oklahoma State,4,2465129.00,65129.00,391811.00
7,252 (C),CLE,Matthew Dayes\DayeMa00,RB,22,North Carolina State,4,2464270.00,64270.00,481067.00
