Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
1,Jarvis Landry*\LandJa00,MIA,25,WR,16,16,161,112,69.60%,987,8.8,9,49,6.1,7,61.7,4
2,Larry Fitzgerald*\FitzLa00,ARI,34,WR,16,16,161,109,67.70%,1156,10.6,6,37,7.2,6.8,72.3,1
3,Michael Thomas*\ThomMi05,NOR,24,WR,16,14,149,104,69.80%,1245,12,5,43,8.4,6.5,77.8,0
4,Keenan Allen*\AlleKe00,LAC,25,WR,16,15,159,102,64.20%,1393,13.7,6,51,8.8,6.4,87.1,1
5,Antonio Brown*+\BrowAn04,PIT,29,WR,14,14,163,101,62.00%,1533,15.2,9,57,9.4,7.2,109.5,4
6,DeAndre Hopkins*+\HopkDe00,HOU,25,WR,15,15,174,96,55.20%,1378,14.4,13,72,7.9,6.4,91.9,1
7,Golden Tate\TateGo00,DET,29,WR,16,12,120,92,76.70%,1003,10.9,5,71,8.4,5.8,62.7,1
8,Adam Thielen*\ThieAd00,MIN,27,WR,16,16,142,91,64.10%,1276,14,4,65,9,5.7,79.8,3
9,Julio Jones*\JoneJu02,ATL,28,WR,16,16,148,88,59.50%,1444,16.4,3,53,9.8,5.5,90.3,0
10,Le'Veon Bell*+\BellLe00,PIT,25,RB,15,15,106,85,80.20%,655,7.7,2,42,6.2,5.7,43.7,3
11,Travis Kelce*\KelcTr00,KAN,28,TE,15,15,122,83,68.00%,1038,12.5,8,44,8.5,5.5,69.2,0
12,Demaryius Thomas\ThomDe03,DEN,30,WR,16,16,140,83,59.30%,949,11.4,5,40,6.8,5.2,59.3,1
13,Alvin Kamara*\KamaAl00,NOR,22,fb/rb,16,3,100,81,81.00%,826,10.2,5,40,8.3,5.1,51.6,1
14,Jack Doyle*\DoylJa00,IND,27,TE,15,15,108,80,74.10%,690,8.6,4,26,6.4,5.3,46,2
15,Christian McCaffrey\McCaCh01,CAR,21,RB,16,10,113,80,70.80%,651,8.1,5,37,5.8,5,40.7,2
16,Doug Baldwin*\BaldDo00,SEA,29,WR,16,16,116,75,64.70%,991,13.2,8,54,8.5,4.7,61.9,0
17,A.J. Green*\GreeA.00,CIN,29,WR,16,16,143,75,52.40%,1078,14.4,8,77,7.5,4.7,67.4,2
18,Tyreek Hill*\HillTy00,KAN,23,WR,15,13,105,75,71.40%,1183,15.8,7,79,11.3,5,78.9,2
19,Davante Adams*\AdamDa01,GNB,25,WR,14,14,117,74,63.20%,885,12,10,55,7.6,5.3,63.2,0
20,Zach Ertz*\ErtzZa00,PHI,27,TE,14,13,110,74,67.30%,824,11.1,8,53,7.5,5.3,58.9,1
21,Duke Johnson\JohnDu00,CLE,24,RB,16,0,93,74,79.60%,693,9.4,3,41,7.5,4.6,43.3,4
22,Delanie Walker*\WalkHu00,TEN,33,TE,16,11,111,74,66.70%,807,10.9,3,42,7.3,4.6,50.4,2
23,Mike Evans\EvanMi00,TAM,24,WR,15,15,136,71,52.20%,1001,14.1,5,42,7.4,4.7,66.7,1
24,Dez Bryant\BryaDe01,DAL,29,WR,16,16,132,69,52.30%,838,12.1,6,50,6.3,4.3,52.4,1
25,Rob Gronkowski*+\GronRo00,NWE,28,TE,14,14,105,69,65.70%,1084,15.7,8,53,10.3,4.9,77.4,1
26,Mohamed Sanu\SanuMo00,ATL,28,WR,15,15,96,67,69.80%,703,10.5,5,25,7.3,4.5,46.9,0
27,Randall Cobb\CobbRa00,GNB,27,WR,15,14,92,66,71.70%,653,9.9,4,46,7.1,4.4,43.5,1
28,Jamison Crowder\CrowJa00,WAS,24,wr,15,6,103,66,64.10%,789,12,3,41,7.7,4.4,52.6,6
29,Brandin Cooks\CookBr00,NWE,24,WR,16,15,114,65,57.00%,1082,16.6,7,64,9.5,4.1,67.6,0
30,Jermaine Kearse\KearJe01,NYJ,27,WR,16,14,102,65,63.70%,810,12.5,5,51,7.9,4.1,50.6,1
31,Stefon Diggs\DiggSt00,MIN,24,WR,14,14,95,64,67.40%,849,13.3,8,59,8.9,4.6,60.6,0
32,Evan Engram\EngrEv00,NYG,23,TE,15,11,115,64,55.70%,722,11.3,6,35,6.3,4.3,48.1,0
33,Todd Gurley*+\GurlTo01,LAR,23,RB,15,15,87,64,73.60%,788,12.3,6,80,9.1,4.3,52.5,5
34,Robby Anderson\AndeRo04,NYJ,24,WR,16,15,114,63,55.30%,941,14.9,7,69,8.3,3.9,58.8,0
35,Devin Funchess\FuncDe00,CAR,23,WR,16,16,111,63,56.80%,840,13.3,8,44,7.6,3.9,52.5,0
36,Jason Witten*\WittJa00,DAL,35,TE,16,16,87,63,72.40%,560,8.9,5,28,6.4,3.9,35,1
37,Nelson Agholor\AghoNe00,PHI,24,WR,16,10,95,62,65.30%,768,12.4,8,72,8.1,3.9,48,0
38,Cooper Kupp\KuppCo00,LAR,24,wr,15,6,94,62,66.00%,869,14,5,64,9.2,4.1,57.9,1
39,Danny Amendola\AmenDa00,NWE,32,WR,15,8,86,61,70.90%,659,10.8,2,27,7.7,4.1,43.9,2
40,Adam Humphries\HumpAd00,TAM,24,wr,16,3,83,61,73.50%,631,10.3,1,43,7.6,3.8,39.4,1
41,Marvin Jones\JoneMa02,DET,27,WR,16,16,107,61,57.00%,1101,18,9,58,10.3,3.8,68.8,0
42,Ben Watson\WatsBe00,BAL,37,TE,16,12,79,61,77.20%,522,8.6,4,33,6.6,3.8,32.6,1
43,Carlos Hyde\HydeCa00,SFO,27,RB,16,16,88,59,67.00%,350,5.9,0,18,4,3.7,21.9,2
44,LeSean McCoy*\McCoLe01,BUF,29,RB,16,16,77,59,76.60%,448,7.6,2,39,5.8,3.7,28,3
45,Sterling Shepard\ShepSt00,NYG,24,WR,11,10,84,59,70.20%,731,12.4,2,77,8.7,5.4,66.5,1
46,Kendall Wright\WrigKe01,CHI,28,wr,16,4,91,59,64.80%,614,10.4,1,22,6.7,3.7,38.4,0
47,Michael Crabtree\CrabMi00,OAK,30,WR,14,14,101,58,57.40%,618,10.7,8,41,6.1,4.1,44.1,1
48,Melvin Gordon\GordMe00,LAC,24,RB,16,16,83,58,69.90%,476,8.2,4,49,5.7,3.6,29.8,1
49,Mark Ingram*\IngrMa01,NOR,28,RB,16,13,71,58,81.70%,416,7.2,0,54,5.9,3.6,26,3
50,JuJu Smith-Schuster\SmitJu00,PIT,21,wr,14,7,79,58,73.40%,917,15.8,7,97,11.6,4.1,65.5,0
51,Kenny Stills\StilKe00,MIA,25,WR,16,16,105,58,55.20%,847,14.6,6,61,8.1,3.6,52.9,4
52,Jimmy Graham*\GrahJi00,SEA,31,TE,16,13,96,57,59.40%,520,9.1,10,33,5.4,3.6,32.5,0
53,T.Y. Hilton*\HiltT.00,IND,28,WR,16,16,109,57,52.30%,966,16.9,4,80,8.9,3.6,60.4,2
54,Alshon Jeffery\JeffAl00,PHI,27,WR,16,16,120,57,47.50%,789,13.8,9,53,6.6,3.6,49.3,0
55,DeVante Parker\ParkDe01,MIA,24,WR,13,12,96,57,59.40%,670,11.8,1,36,7,4.4,51.5,1
