Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
1,Patrick Mahomes\MahoPa00,2018,23,10-Jan,KAN,NFL,16,16,1,1,1,22
2,Mitchell Schwartz\SchwMi00,2018,29,Feb-37,KAN,NFL,16,16,1,0,1,20
3,Jared Goff\GoffJa00,2018,24,1-Jan,LAR,NFL,16,16,1,1,0,18
4,Tyreek Hill\HillTy00,2018,24,5-165,KAN,NFL,16,16,1,1,1,18
5,Darius Leonard\LeonDa00,2018,23,Feb-36,IND,NFL,15,15,1,0,1,18
6,Drew Brees\BreeDr00,2018,39,Feb-32,NOR,NFL,15,15,1,1,0,17
7,Danielle Hunter\HuntDa01,2018,24,Mar-88,MIN,NFL,16,16,1,1,0,17
8,Khalil Mack\MackKh00,2018,27,5-Jan,CHI,NFL,14,13,1,1,1,17
9,Michael Thomas\ThomMi05,2018,25,Feb-47,NOR,NFL,16,16,1,1,1,17
10,Todd Gurley\GurlTo01,2018,24,10-Jan,LAR,NFL,14,14,1,1,1,16
11,Alvin Kamara\KamaAl00,2018,23,Mar-67,NOR,NFL,15,13,1,1,0,16
12,Christian McCaffrey\McCaCh01,2018,22,8-Jan,CAR,NFL,16,16,1,0,0,16
13,Matt Ryan\RyanMa00,2018,33,3-Jan,ATL,NFL,16,16,1,0,0,16
14,Bobby Wagner\WagnBo00,2018,28,Feb-47,SEA,NFL,15,15,1,1,1,16
15,Deshaun Watson\WatsDe00,2018,23,12-Jan,HOU,NFL,16,16,1,1,0,16
16,J.J. Watt\WattJ.00,2018,29,11-Jan,HOU,NFL,16,16,1,1,1,16
17,David Bakhtiari\BakhDa00,2018,27,4-109,GNB,NFL,16,16,1,0,1,15
18,Fletcher Cox\CoxxFl00,2018,28,12-Jan,PHI,NFL,16,16,1,1,1,15
19,Aaron Donald\DonaAa00,2018,27,13-Jan,LAR,NFL,16,16,1,1,1,15
20,Ezekiel Elliott\ElliEz00,2018,23,4-Jan,DAL,NFL,15,15,1,1,0,15
21,Kyle Fuller\FullKy00,2018,26,14-Jan,CHI,NFL,16,16,1,1,1,15
22,Travis Kelce\KelcTr00,2018,29,Mar-63,KAN,NFL,16,16,1,1,1,15
23,Andrew Luck\LuckAn00,2018,29,1-Jan,IND,NFL,16,16,1,1,0,15
24,C.J. Mosley\MoslC.00,2018,26,17-Jan,BAL,NFL,15,15,1,1,0,15
