Team,Adjusted Line Yards,RB Yards,Power Success,Power Rank,Stuffed,Stuffed Rank,2nd Level Yards,2nd Level Rank,Open Field Yards,Open Field Rank,Team,Rank,Sacks,Adjusted Sack Rate
,,,,,,,,,,,,,,
NE,5.05,4.43,65%,14,16%,3,1.35,2,0.6,20,PIT,1,24,3.90%
NO,4.93,5.11,69%,7,15%,1,1.3,3,1.37,1,NO,2,20,4.00%
LARM,4.7,4.53,50%,29,22%,23,1.42,1,0.82,11,LACH,3,18,4.20%
DAL,4.66,4.26,77%,3,17%,4,1.16,16,0.67,19,BAL,4,27,4.30%
GB,4.6,4.13,66%,11,16%,2,1.1,19,0.51,24,JAC,5,24,4.40%
BAL,4.36,4.22,69%,7,20%,14,1.27,5,0.7,17,MIN,6,27,4.40%
PIT,4.36,4.07,65%,12,17%,5,1.22,10,0.48,27,OAK,7,24,4.60%
ATL,4.35,4.25,64%,17,21%,20,1.25,6,0.85,10,ATL,8,24,4.80%
DEN,4.31,4.03,65%,15,18%,7,1.11,18,0.51,26,LARM,9,28,5.60%
SF,4.2,4.13,62%,20,23%,25,1.24,7,0.76,14,NYG,10,34,5.80%
OAK,4.17,4.14,62%,21,22%,22,1.17,14,0.73,16,MIA,11,33,5.80%
KC,4.14,4.66,82%,1,18%,8,1.23,9,1.17,2,PHI,12,36,6.20%
JAC,4.12,4.16,62%,19,19%,10,0.98,27,0.96,7,NE,13,35,6.40%
CLE,4.09,4.15,74%,4,19%,11,1.23,8,0.75,15,TEN,14,35,6.40%
NYG,4.06,4.02,50%,29,17%,6,1.02,24,0.68,18,DAL,15,32,6.40%
TB,4.06,3.53,65%,12,20%,17,0.93,31,0.41,30,TB,16,40,6.50%
ARI,4.02,3.38,68%,9,20%,13,0.9,32,0.3,32,KC,17,37,6.70%
IND,3.98,3.63,81%,2,20%,16,1,25,0.44,29,SF,18,43,6.80%
MIN,3.96,3.98,67%,10,21%,19,1.11,17,0.77,13,CAR,19,35,7.10%
HOU,3.89,3.78,63%,18,21%,18,0.99,26,0.51,25,CIN,20,40,7.20%
WAS,3.86,3.65,55%,27,20%,15,1.04,22,0.45,28,DET,21,47,7.50%
PHI,3.85,4.52,64%,16,21%,21,1.3,4,1.14,3,CLE,22,50,7.60%
TEN,3.85,4,60%,23,23%,24,1.09,21,0.9,9,CHI,23,39,7.70%
CIN,3.79,3.7,59%,24,18%,9,1.17,12,0.41,31,WAS,24,41,7.70%
CAR,3.78,3.61,72%,5,19%,12,0.94,30,0.53,22,SEA,25,43,8.10%
LACH,3.71,3.93,58%,25,24%,26,1.17,13,0.78,12,ARI,26,52,8.10%
BUF,3.67,3.96,61%,22,26%,27,1.17,15,0.9,8,NYJ,27,47,8.60%
CHI,3.65,4.08,58%,26,26%,28,1.2,11,0.97,6,GB,28,51,8.60%
NYJ,3.4,3.96,48%,31,26%,29,1.03,23,1.04,5,DEN,29,52,9.10%
MIA,3.26,4.09,71%,6,27%,30,1.09,20,1.07,4,HOU,30,54,9.20%
SEA,3.18,3.3,55%,27,30%,32,0.97,28,0.54,21,BUF,31,47,9.30%
DET,3.16,3.31,45%,32,27%,31,0.94,29,0.52,23,IND,32,56,10.00%
NFL,x,4.03,64%,x,21%,x,1,x,0.65,x,NFL,x,37,6.70%
