Team,Adj. Line Yards,RB Yards,Power Success,Power Rate,Stuffed,Stuffed Rate,2nd Level Yards,2nd Level Rank,Open Field Yards,Open Field Rank,Sacks,Adjusted Sack Rate,,,,,,,
,,,,,,,,,,,,,,,,,,,
LAR,5.49,5,68%,13,14.60%,2,1.58,1,0.84,16,33,5.40%,,,,,,,
NO,5.19,4.6,70%,9,14.50%,1,1.28,14,0.77,21,20,4.40%,,,,,,,
NE,5.03,4.24,58%,29,15.90%,4,1.19,21,0.64,25,21,3.80%,,,,,,,
IND,4.83,4.55,59%,28,17.80%,9,1.34,6,0.74,22,18,4.10%,,,,,,,
LAC,4.8,4.91,67%,18,18.40%,16,1.46,4,1.05,7,34,6.40%,,,,,,,
DEN,4.75,4.88,71%,7,18.40%,14,1.42,5,1.01,10,34,6.30%,,,,,,,
GB,4.71,4.7,65%,21,18.10%,12,1.49,2,0.8,20,53,7.90%,,,,,,,
DAL,4.61,4.46,75%,3,17.90%,11,1.31,9,0.87,14,56,9.70%,,,,,,,
BAL,4.59,4.53,78%,1,14.60%,3,1.32,7,0.67,24,32,6.10%,,,,,,,
SF,4.56,4.84,68%,16,19.40%,18,1.46,3,1.13,5,48,8.00%,,,,,,,
CAR,4.55,4.62,67%,18,17.00%,7,1.27,17,0.97,12,32,6.10%,,,,,,,
SEA,4.5,4.64,71%,5,17.30%,8,1.3,10,0.85,15,51,10.40%,,,,,,,
OAK,4.49,4.24,53%,31,17.90%,10,1.31,8,0.6,28,52,8.70%,,,,,,,
MIA,4.47,4.79,62%,24,18.40%,15,1.29,12,1.02,8,52,10.50%,,,,,,,
PIT,4.44,4.36,71%,5,15.90%,5,1.2,20,0.8,19,24,4.40%,,,,,,,
KC,4.37,4.66,72%,4,18.10%,13,1.27,18,1.01,11,26,5.40%,,,,,,,
TEN,4.33,4.24,67%,17,18.90%,17,1.15,24,0.83,18,47,10.20%,,,,,,,
CLE,4.24,4.61,50%,32,23.10%,29,1.27,16,1.16,4,38,6.70%,,,,,,,
PHI,4.14,4.12,62%,25,21.50%,26,1.28,15,0.61,27,40,6.70%,,,,,,,
DET,4.14,4.1,68%,14,21.80%,27,1.18,22,0.74,23,41,6.30%,,,,,,,
JAX,4.12,3.46,69%,12,19.50%,19,0.98,29,0.29,32,53,9.30%,,,,,,,
CIN,4.1,4.61,71%,7,20.10%,20,1.3,11,1.19,3,37,7.00%,,,,,,,
MIN,4.09,4.29,58%,30,21.50%,25,1.16,23,1.02,9,40,6.10%,,,,,,,
ATL,4.08,4.59,60%,27,25.30%,31,1.29,13,1.3,2,42,6.60%,,,,,,,
ARI,4,3.58,69%,10,16.50%,6,0.98,30,0.36,31,52,9.20%,,,,,,,
WAS,3.96,4.16,76%,2,22.80%,28,1.24,19,0.93,13,44,8.50%,,,,,,,
HOU,3.93,4.01,63%,23,20.40%,21,1.09,26,0.83,17,62,11.60%,,,,,,,
CHI,3.92,3.83,67%,18,20.50%,22,0.96,31,0.63,26,33,6.00%,,,,,,,
NYG,3.9,4.69,69%,10,20.90%,24,1.1,25,1.6,1,47,7.40%,,,,,,,
BUF,3.89,3.53,68%,14,20.90%,23,0.92,32,0.43,30,41,8.00%,,,,,,,
TB,3.78,3.55,64%,22,24.70%,30,1.06,27,0.49,29,41,6.60%,,,,,,,
NYJ,3.59,4.05,61%,26,26.10%,32,1.05,28,1.06,6,37,6.70%,,,,,,,
NFL,33,4.36,66%,33,19.30%,33,1.06,33,0.73,33,40,7.10%,,,,,,,
