,Player, Team, Salary
0,Joe Flacco\FlacJo00, Baltimore,24550000.00
1,Carson Palmer\PalmCa00, Arizona,24125000.00
2,Kirk Cousins\CousKi00, Washington,23943000.00
3,Matt Ryan\RyanMa00, Atlanta,23750000.00
4,Matthew Stafford\StafMa00, Detroit,22000000.00
5,Aaron Rodgers\RodgAa00, Green Bay,20300000.00
6,Cam Newton\NewtCa00, Carolina,20166000.00
7,Philip Rivers\RivePh00, Los Angeles Chargers,20000000.00
8,Eli Manning\MannEl00, N.Y. Giants,19700000.00
9,Andrew Luck\LuckAn00, Indianapolis,19400000.00
10,Drew Brees\BreeDr00, New Orleans,19000000.00
11,Russell Wilson\WilsRu00, Seattle,18800000.00
12,Ben Roethlisberger\RoetBe00, Pittsburgh,18200000.00
13,Sam Bradford\BradSa00, Minnesota,18000000.00
14,Alex Smith\SmitAl03, Kansas City,16900000.00
15,Derek Carr\CarrDe02, Oakland,15700000.00
16,Andy Dalton\DaltAn00, Cincinnati,15700000.00
17,Tom Brady\BradTo00, New England,14000000.00
18,Mike Glennon\GlenMi00, Chicago,14000000.00
19,Jay Cutler\CutlJa00, Miami,10000000.00
20,Tyrod Taylor\TaylTy00, Buffalo,9700000.00
21,Jameis Winston\WinsJa00, Tampa Bay,6900000.00
22,Marcus Mariota\MariMa01, Tennessee,6600000.00
23,Blake Bortles\BortBl00, Jacksonville,6570000.00
24,Josh McCown\McCoJo01, N.Y. Jets,6500000.00
25,Jared Goff\GoffJa00, L.A. Rams,6400000.00
26,Carson Wentz\WentCa00, Philadelphia,6000000.00
27,Brian Hoyer\HoyeBr00, San Francisco,5300000.00
28,DeShone Kizer\KizeDe00, Cleveland,899711.00
29,Tom Savage\SavaTo00, Houston,765146.00
30,Dak Prescott\PresDa01, Dallas,635848.00
31,Trevor Siemian\SiemTr00, Denver,628196.00
