Player,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,EYds,TD,FUM,,,,,,,,,,,,,,,,,
Thomas Rawls\RawlTh00,SEA,216,224,26.40%,27.80%,147,830,880,4,1,,,,,,,,,,,,,,,,,
Matt Forte\FortMa00,CHI,192,147,12.00%,7.10%,218,898,"1,118",4,1,,,,,,,,,,,,,,,,,
DeAngelo Williams\WillDe02,PIT,184,162,12.10%,9.60%,200,907,"1,065",11,3,,,,,,,,,,,,,,,,,
Todd Gurley*\GurlTo01,STL,170,124,10.00%,4.90%,229,"1,102","1,065",10,3,,,,,,,,,,,,,,,,,
Le'Veon Bell\BellLe00,PIT,162,127,28.10%,20.10%,113,556,643,3,0,,,,,,,,,,,,,,,,,
Adrian Peterson*+\PeteAd01,MIN,143,133,2.20%,1.50%,327,"1,490","1,369",11,6,,,,,,,,,,,,,,,,,
LeSean McCoy*\McCoLe01,BUF,139,110,8.80%,5.20%,202,895,915,3,1,,,,,,,,,,,,,,,,,
David Johnson\JohnDa08,ARI,133,149,15.70%,18.50%,125,581,688,8,2,,,,,,,,,,,,,,,,,
Ryan Mathews\MathRy00,PHI,133,106,20.40%,14.60%,108,539,610,6,3,,,,,,,,,,,,,,,,,
Giovani Bernard\BernGi00,CIN,131,130,11.80%,11.70%,154,730,761,2,0,,,,,,,,,,,,,,,,,
Jeremy Langford\LangJe00,CHI,123,111,12.70%,10.60%,148,537,695,6,0,,,,,,,,,,,,,,,,,
Rashad Jennings\JennRa00,NYG,117,161,5.60%,11.00%,195,863,897,3,1,,,,,,,,,,,,,,,,,
Justin Forsett\ForsJu00,BAL,117,101,9.10%,6.70%,151,641,759,2,0,,,,,,,,,,,,,,,,,
Mark Ingram\IngrMa01,NO,108,120,6.60%,8.30%,166,769,788,6,1,,,,,,,,,,,,,,,,,
Devonta Freeman*\FreeDe00,ATL,90,122,-0.50%,2.30%,264,"1,062","1,107",11,2,,,,,,,,,,,,,,,,,
Jeremy Hill\HillJe01,CIN,85,64,0.10%,-2.00%,223,792,976,11,3,,,,,,,,,,,,,,,,,
Darren McFadden\McFaDa00,DAL,83,103,-0.40%,1.60%,239,"1,089","1,012",3,3,,,,,,,,,,,,,,,,,
Doug Martin*+\MartDo00,TB,81,150,-1.60%,4.20%,288,"1,402","1,137",6,4,,,,,,,,,,,,,,,,,
Lamar Miller\MillLa01,MIA,81,105,1.70%,4.80%,194,872,806,8,1,,,,,,,,,,,,,,,,,
Charcandrick West\WestCh01,KC,77,74,2.80%,2.40%,160,634,705,4,1,,,,,,,,,,,,,,,,,
LeGarrette Blount\BlouLe00,NE,64,91,0.20%,3.90%,165,703,729,6,1,,,,,,,,,,,,,,,,,
Alfred Blue\BlueAl00,HOU,61,10,-0.20%,-7.20%,183,698,726,2,2,,,,,,,,,,,,,,,,,
Carlos Hyde\HydeCa00,SF,60,27,3.90%,-3.00%,115,470,509,4,1,,,,,,,,,,,,,,,,,
Charles Sims\SimsCh00,TB,50,71,2.60%,7.40%,107,529,463,0,1,,,,,,,,,,,,,,,,,
Marshawn Lynch\LyncMa00,SEA,47,54,1.20%,2.60%,111,417,495,3,0,,,,,,,,,,,,,,,,,
T.J. Yeldon\YeldT.00,JAC,39,31,-3.20%,-4.40%,182,740,690,2,0,,,,,,,,,,,,,,,,,
Isaiah Crowell\CrowIs00,CLE,36,-21,-4.00%,-11.30%,185,706,736,4,0,,,,,,,,,,,,,,,,,
C.J. Anderson\AndeC.00,DEN,34,70,-3.20%,2.60%,152,720,591,5,2,,,,,,,,,,,,,,,,,
Latavius Murray*\MurrLa00,OAK,32,27,-5.60%,-6.00%,266,"1,066",965,6,3,,,,,,,,,,,,,,,,,
Javorius Allen\AlleJa01,BAL,31,0,-3.20%,-8.60%,137,518,549,1,2,,,,,,,,,,,,,,,,,
Duke Johnson\JohnDu00,CLE,30,9,-1.40%,-6.50%,104,379,411,0,0,,,,,,,,,,,,,,,,,
Chris Johnson\JohnCh04,ARI,26,24,-5.40%,-5.50%,196,812,735,3,2,,,,,,,,,,,,,,,,,
Jonathan Stewart*\StewJo00,CAR,23,78,-6.20%,-0.50%,242,988,869,6,3,,,,,,,,,,,,,,,,,
Ronnie Hillman\HillRo00,DEN,21,75,-6.20%,0.10%,207,863,777,7,2,,,,,,,,,,,,,,,,,
Eddie Lacy\LacyEd00,GB,3,42,-8.30%,-3.30%,187,758,688,3,3,,,,,,,,,,,,,,,,,
Frank Gore\GoreFr00,IND,0,-65,-8.60%,-14.70%,260,968,917,6,4,,,,,,,,,,,,,,,,,
Ameer Abdullah\AbduAm00,DET,-2,21,-8.90%,-5.00%,143,597,505,2,4,,,,,,,,,,,,,,,,,
Antonio Andrews\AndrAn00,TEN,-6,-17,-9.50%,-11.40%,143,520,523,3,1,,,,,,,,,,,,,,,,,
DeMarco Murray\MurrDe00,PHI,-29,19,-12.10%,-6.30%,193,704,659,6,2,,,,,,,,,,,,,,,,,
Chris Ivory*\IvorCh00,NYJ,-31,23,-11.50%,-6.40%,247,"1,073",863,7,3,,,,,,,,,,,,,,,,,
James Starks\StarJa00,GB,-46,-49,-15.80%,-16.30%,148,601,470,2,4,,,,,,,,,,,,,,,,,
Alfred Morris\MorrAl00,WAS,-52,9,-15.00%,-7.40%,202,751,612,2,0,,,,,,,,,,,,,,,,,
Melvin Gordon\GordMe00,SD,-68,-94,-17.40%,-20.80%,184,641,551,0,5,,,,,,,,,,,,,,,,,
Matt Jones\JoneMa04,WAS,-92,-54,-23.40%,-17.30%,144,490,386,3,4,,,,,,,,,,,,,,,,,
Karlos Williams\WillKa01,BUF,159,150,30.40%,28.10%,93,517,609,7,1,,,,,,,,,,,,,,,,,
Tim Hightower\HighTi00,NO,110,95,16.50%,13.00%,96,375,555,4,0,,,,,,,,,,,,,,,,,
Spencer Ware\WareSp00,KC,106,144,25.80%,38.00%,72,403,438,6,0,,,,,,,,,,,,,,,,,
Jamaal Charles\CharJa00,KC,96,90,24.80%,23.00%,71,364,401,4,2,,,,,,,,,,,,,,,,,
Darren Sproles*\SproDa00,PHI,80,64,14.80%,10.00%,83,317,426,3,0,,,,,,,,,,,,,,,,,
Dion Lewis\LewiDi00,NE,77,83,28.10%,30.80%,49,234,306,2,0,,,,,,,,,,,,,,,,,
Andre Ellington\ElliAn00,ARI,64,63,24.40%,23.90%,45,289,272,3,1,,,,,,,,,,,,,,,,,
Ka'Deem Carey\CareKa00,CHI,56,34,21.20%,9.80%,43,161,251,2,1,,,,,,,,,,,,,,,,,
Jonathan Grimes\GrimJo01,HOU,54,42,20.00%,13.40%,56,282,251,1,0,,,,,,,,,,,,,,,,,
Mike Gillislee\GillMi00,BUF,54,20,20.90%,2.60%,47,267,246,3,1,,,,,,,,,,,,,,,,,
Mike Tolbert*+\TolbMi00,CAR,54,53,9.80%,9.70%,62,256,339,1,0,,,,,,,,,,,,,,,,,
