Player,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,EYds,TD,FUM
Ezekiel Elliott*+\ElliEz00,DAL,339,354,15.90%,17.00%,322,"1,626","1,743",15,5
LeSean McCoy*\McCoLe01,BUF,338,244,28.30%,18.00%,234,"1,269","1,339",14,3
Le'Veon Bell*\BellLe00,PIT,277,271,17.30%,16.70%,261,"1,269","1,371",7,3
Mike Gillislee\GillMi00,BUF,256,236,44.90%,40.80%,101,577,827,8,0
Jordan Howard*\HowaJo00,CHI,219,246,12.30%,14.80%,252,"1,313","1,258",6,1
Carlos Hyde\HydeCa00,SF,204,98,15.30%,2.90%,216,991,"1,068",6,4
Jay Ajayi*\AjayJa00,MIA,185,126,9.30%,3.70%,260,"1,273","1,187",8,4
Bilal Powell\PoweBi00,NYJ,182,197,23.10%,25.80%,131,714,788,3,0
David Johnson*+\JohnDa08,ARI,177,139,5.10%,2.20%,292,"1,235","1,404",16,5
Mark Ingram\IngrMa01,NO,175,223,11.30%,16.90%,205,"1,043","1,038",6,2
Isaiah Crowell\CrowIs00,CLE,169,94,13.40%,3.70%,198,952,932,7,2
Frank Gore\GoreFr00,IND,159,88,5.60%,-0.70%,263,"1,032","1,222",5,2
Devonta Freeman*\FreeDe00,ATL,148,179,6.40%,9.50%,227,"1,079","1,089",11,1
LeGarrette Blount\BlouLe00,NE,131,84,1.50%,-2.10%,299,"1,161","1,339",18,2
Derrick Henry\HenrDe00,TEN,131,139,19.60%,21.40%,110,490,612,5,0
Tim Hightower\HighTi00,NO,121,99,11.90%,8.10%,133,548,708,4,0
Robert Kelley\KellRo00,WAS,102,62,5.80%,0.10%,168,704,775,6,0
Tevin Coleman\ColeTe01,ATL,86,90,9.70%,10.50%,118,528,544,8,1
Ryan Mathews\MathRy00,PHI,58,67,0.00%,1.40%,155,657,672,8,3
Spencer Ware\WareSp00,KC,54,72,-2.70%,-0.70%,214,921,875,3,3
Christine Michael\MichCh00,2TM,52,48,-0.60%,-1.20%,148,583,645,7,1
Jacquizz Rodgers\RodgJa00,TB,47,64,0.20%,3.30%,129,560,542,2,0
Latavius Murray\MurrLa00,OAK,46,100,-3.40%,2.50%,195,788,854,12,2
DeMarco Murray*\MurrDe00,TEN,42,140,-5.30%,2.40%,294,"1,287","1,165",10,4
Jeremy Hill\HillJe01,CIN,34,36,-5.00%,-4.90%,222,839,883,9,0
Paul Perkins\PerkPa00,NYG,11,22,-6.10%,-3.80%,112,456,407,0,1
Alfred Blue\BlueAl00,HOU,6,29,-7.20%,-1.70%,100,420,373,1,1
Terrance West\WestTe00,BAL,3,-10,-8.20%,-9.90%,193,783,671,5,2
Melvin Gordon*\GordMe00,SD,2,83,-8.40%,-1.00%,254,997,945,10,2
Matt Forte\FortMa00,NYJ,-2,-5,-8.80%,-9.10%,218,813,768,7,1
