Player,Team,Salary Cap Value,Cash Spent
Le'Veon Bell*+\BellLe00,Steelers,12120000.00,12120000.00
LeSean McCoy\McCoLe01,Bills,10375000.00,6250000.00
DeMarco Murray\MurrDe00,Titans,6950000.00,6250000.00
Lamar Miller\MillLa01,Texans,6500000.00,5500000.00
Jonathan Stewart\StewJo00,Panthers,6175000.00,4218750.00
Chris Ivory\IvorCh00,Jaguars,6000000.00,5000000.00
Doug Martin\MartDo00,Buccaneers,5764706.00,5764706.00
Mark Ingram\IngrMa01,Saints,5345000.00,3700000.00
Ezekiel Elliott\ElliEz00,Cowboys,5112702.00,1025186.00
Matt Forte\FortMa00,Jets,5000000.00,4000000.00
Leonard Fournette\FourLe00,Jaguars,4936524.00,18351096.00
Bilal Powell\PoweBi00,Jets,4633333.00,3750000.00
Devonta Freeman\FreeDe00,Falcons,4418106.00,16297000.00
Shane Vereen\VereSh00,Giants,4416668.00,3450000.00
Darren Sproles\SproDa00,Eagles,4000000.00,4000000.00
Mike Gillislee\GillMi00,Patriots,3968750.00,3781250.00
Todd Gurley*+\GurlTo01,Rams,3769958.00,1691652.00
Giovani Bernard\BernGi00,Bengals,3675000.00,3000000.00
Eddie Lacy\LacyEd00,Seahawks,3562500.00,4250000.00
Frank Gore\GoreFr00,Colts,3500000.00,3500000.00
Rex Burkhead\BurkRe00,Patriots,3150000.00,3150000.00
Christian McCaffrey\McCaCh01,Panthers,3134782.00,11144128.00
C.J. Anderson\AndeC.00,Broncos,3000000.00,3000000.00
Latavius Murray\MurrLa00,Vikings,2956250.00,4250000.00
Melvin Gordon\GordMe00,Chargers,2909935.00,1404978.00
Isaiah Crowell\CrowIs00,Browns,2746000.00,2746000.00
Marshawn Lynch\LyncMa00,Raiders,2701838.00,4289338.00
Chris Thompson\ThomCh03,Redskins,2500000.00,4500000.00
Theo Riddick\RiddTh00,Lions,2400000.00,1475000.00
Alfred Morris\MorrAl00,Cowboys,2137500.00,1700000.00
Jamaal Charles\CharJa00,Broncos,1953125.00,2500000.00
Terrance West\WestTe00,Ravens,1797000.00,1797000.00
Damien Williams\WillDa05,Dolphins,1797000.00,1797000.00
James White\WhitJa02,Patriots,1789272.00,4690000.00
Danny Woodhead\WoodDa02,Ravens,1750000.00,3250000.00
Spencer Ware,Chiefs,1745833.00,1225000.00
Jacquizz Rodgers\RodgJa00,Buccaneers,1700000.00,1700000.00
T.J. Yeldon\YeldT.00,Jaguars,1612848.00,972616.00
Dion Lewis\LewiDi00,Patriots,1487500.00,1400000.00
Lance Dunbar\DunbLa00,Rams,1476563.00,1500000.00
Robert Turbin\TurbRo00,Colts,1381250.00,1212500.00
Fozzy Whittaker\WhitFo00,Panthers,1350000.00,1350000.00
LeGarrette Blount\BlouLe00,Eagles,1250000.00,1250000.00
Derrick Henry\HenrDe00,Titans,1229075.00,695815.00
Jeremy Hill\HillJe01,Bengals,1194328.00,931855.00
Carlos Hyde\HydeCa00,49ers,1171443.00,922047.00
Dalvin Cook\CookDa01,Vikings,1155147.00,3225588.00
Charcandrick West\WestCh01,Chiefs,1152083.00,825000.00
Ameer Abdullah\AbduAm00,Lions,1133489.00,812830.00
Cedric Peerman,Bengals,1087500.00,1050000.00
Orleans Darkwa\DarkOr00,Giants,1037500.00,1100000.00
Joe Mixon\MixoJo00,Bengals,990938.00,2568752.00
Charles Sims\SimsCh00,Buccaneers,950023.00,779000.00
Tevin Coleman\ColeTe01,Falcons,866311.00,680000.00
Duke Johnson\JohnDu00,Browns,830023.00,652500.00
Jerick McKinnon\McKiJe00,Vikings,828750.00,700000.00
Kenyan Drake\DrakKe00,Dolphins,800315.00,595000.00
Branden Oliver\OlivBr01,Chargers,800000.00,800000.00
David Johnson\JohnDa08,Cardinals,799843.00,640000.00
Ty Montgomery\MontTy01,Packers,788636.00,637000.00
C.J. Prosise\ProsC.00,Seahawks,738116.00,565000.00
Javorius Allen\AlleJa01,Ravens,733618.00,615000.00
Alfred Blue\BlueAl00,Texans,719483.00,690000.00
Alvin Kamara\KamaAl00,Saints,708193.00,1437772.00
Adrian Peterson\PeteAd01,Cardinals,705882.00,705882.00
Benny Cunningham\CunnBe01,Bears,695000.00,855000.00
Kerwynn Williams\WillKe05,Cardinals,690000.00,690000.00
Tyler Ervin\ErviTy00,Texans,676892.00,540000.00
Kareem Hunt\HuntKa00,Chiefs,658988.00,1240952.00
Cameron Artis-Payne\ArtiCa00,Panthers,656563.00,615000.00
James Conner\ConnJa00,Steelers,641572.00,1171288.00
Devontae Booker\BookDe00,Broncos,635848.00,540000.00
Samaje Perine\PeriSa00,Redskins,629947.00,1124788.00
Tarik Cohen\CoheTa00,Bears,623289.00,1098156.00
Thomas Rawls\RawlTh00,Seahawks,620000.00,615000.00
Zach Zenner\ZennZa00,Lions,616668.00,615000.00
Corey Grant\GranCo00,Jaguars,616668.00,615000.00
Jordan Todman,Texans,615000.00,775000.00
Rod Smith\SmitRo06,Cowboys,615000.00,615000.00
Terron Ward\WardTe00,Falcons,615000.00,615000.00
Brandon Bolden\BoldBr00,Patriots,615000.00,775000.00
D'Onta Foreman\ForeDO00,Texans,613577.00,1183190.00
DeAndre Washington\WashDe00,Raiders,607299.00,540000.00
Jamaal Williams\WillJa06,Packers,606498.00,1030992.00
Paul Perkins\PerkPa00,Giants,603137.00,540000.00
Jordan Howard\HowaJo00,Bears,602006.00,540000.00
Wendell Smallwood\SmalWe00,Eagles,601145.00,540000.00
Akeem Hunt\HuntAk01,Chiefs,578824.00,578824.00
Marlon Mack\MackMa00,Colts,569912.00,884648.00
Wayne Gallman\GallWa00,Giants,569912.00,884648.00
Kenjon Barner\BarnKe00,Eagles,568235.00,568235.00
Dwayne Washington\WashDw00,Lions,558941.00,540000.00
Raheem Mostert\MostRa00,49ers,545294.00,545294.00
Jalen Richard\RichJa01,Raiders,540000.00,540000.00
Peyton Barber\BarbPe01,Buccaneers,540000.00,540000.00
Malcolm Brown\BrowMa03,Rams,540000.00,540000.00
Senorise Perry\PerrSe00,Dolphins,540000.00,540000.00
David Fluellen\FlueDa00,Titans,540000.00,540000.00
Aaron Jones\JoneAa00,Packers,515487.00,666948.00
D.J. Foster\FostD.01,Cardinals,508235.00,508235.00
Alex Collins\CollAl00,Ravens,508235.00,508235.00
Elijah McGuire\McGuEl00,Jets,507129.00,633516.00
Joe Williams,49ers,505346.00,977384.00
Taiwan Jones,Bills,503471.00,618765.00
De'Angelo Henderson\HendDe01,Broncos,501291.00,610164.00
Donnel Pumphrey,Eagles,498854.00,930770.00
Devante Mays\MaysDe00,Packers,483761.00,540044.00
Matt Dayes,Browns,481071.00,529284.00
Andre Williams\WillAn00,Chargers,479647.00,479647.00
Austin Davis\DaviAu00,Rams,470000.00,480000.00
Corey Clement\ClemCo00,Eagles,468333.00,475000.00
Robert Kelley\KellRo00,Redskins,468118.00,467118.00
Austin Ekeler\EkelAu00,Chargers,466666.00,470000.00
Tion Green\GreeTi00,Lions,466666.00,470000.00
Matt Breida\BreiMa00,49ers,466666.00,470000.00
Taquan Mizzell,Bears,465000.00,465000.00
Elijhaa Penny\PennEl00,Cardinals,465000.00,465000.00
C.J. Ham\HamxC.00,Vikings,465000.00,465000.00
Bishop Sankey,Vikings,418000.00,418000.00
T.J. Logan,Cardinals,398487.00,549948.00
Chris Carson\CarsCh00,Seahawks,391814.00,440669.00
George Winn,Colts,378000.00,378000.00
Christine Michael,Colts,378000.00,443000.00
Mike James,Lions,378000.00,443000.00
Kenneth Dixon,Ravens,373436.00,277588.00
Kenneth Farrow,Chargers,364666.00,363000.00
Keith Marshall,Redskins,364388.00,348000.00
Darius Jackson,Browns,363000.00,363000.00
I'Tavius Mathers,Jaguars,349666.00,353000.00
Josh Ferguson\FergJo02,Colts,349412.00,349412.00
Daniel Lasco,Saints,349412.00,349412.00
Lenard Tillery,Rams,348833.00,350500.00
Tra Carson,Bengals,348000.00,348000.00
Zach Laskey,Rams,348000.00,348000.00
Jay Ajayi\AjayJa00,Eagles,325588.00,325588.00
Mack Brown\BrowMa02,Vikings,285882.00,285882.00
Travaris Cadet\CadeTr00,Bills,275471.00,345177.00
Andre Ellington\ElliAn00,Texans,273529.00,273529.00
Mike Davis\DaviMi01,Seahawks,253235.00,253235.00
Jonathan Williams,Saints,247353.00,272353.00
Fitzgerald Toussaint\TousFi00,Steelers,243529.00,243529.00
Shane Smith,Giants,218824.00,218824.00
Brian Hill\HillBr02,Bengals,191471.00,191471.00
Byron Marshall\MarsBy01,Redskins,191118.00,191118.00
LeShun Daniels Jr.,Redskins,150353.00,150353.00
Matt Jones\JoneMa04,Colts,148000.00,148000.00
Jeremy McNichols,49ers,136765.00,136765.00
De'Veon Smith,Dolphins,136765.00,136765.00
Tim Cook,Jaguars,122400.00,122400.00
Kapri Bibbs\BibbKa00,Redskins,108529.00,108529.00
John Crockett,Ravens,108000.00,108000.00
George Atkinson III,Chiefs,108000.00,108000.00
Brandon Wilds,Jaguars,86400.00,86400.00
Jarveon Williams,Bengals,82059.00,82059.00
Akeem Judd,Jets,75177.00,75177.00
Stevan Ridley\RidlSt00,Steelers,72353.00,91176.00
Jeremy Langford,Jets,67200.00,67200.00
Elijah Hood,Raiders,64800.00,64800.00
