Player,Position,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,Catch Rate,FUM
K.Hunt,RB,KC,198,198,79.40%,79.70%,35,378,560,7,74%,0
A.Kamara,RB,NO,197,203,19.40%,20.50%,105,709,831,4,77%,0
J.White,RB,NE,194,200,13.50%,14.30%,123,751,907,7,71%,0
T.Cohen,RB,CHI,184,197,21.30%,23.60%,91,725,757,5,78%,1
C.McCaffrey,RB,CAR,183,209,11.50%,15.20%,124,867,894,6,86%,2
J.Richard,RB,OAK,138,144,17.40%,18.90%,81,607,600,0,84%,0
A.Ekeler,RB,LAC,131,116,30.30%,25.40%,53,404,481,3,74%,1
K.Drake,RB,MIA,123,99,14.00%,8.60%,74,477,568,5,73%,0
J.Conner,RB,PIT,112,102,15.20%,12.60%,71,497,503,1,77%,1
M.Breida,RB,SF,105,113,44.80%,49.00%,31,261,346,2,87%,0
Du.Johnson,RB,CLE,103,101,12.90%,12.40%,62,429,488,3,76%,1
T.Gurley,RB,LAR,98,119,6.90%,11.50%,81,580,538,4,73%,1
S.Barkley,RB,NYG,86,79,-0.70%,-1.70%,121,721,643,4,75%,0
J.Samuels,RB,PIT,79,96,36.40%,47.00%,29,199,274,3,90%,0
N.Hines,RB,IND,79,62,3.50%,-0.20%,81,425,488,2,78%,0
T.Coleman,RB,ATL,77,80,17.20%,18.40%,44,276,335,5,73%,1
T.J.Yeldon,RB,JAX,76,70,3.00%,1.60%,79,482,483,4,71%,0
K.Juszczyk,RB,SF,76,82,18.70%,21.60%,41,324,322,1,73%,1
M.Gordon,RB,LAC,72,82,5.50%,8.20%,66,490,413,4,76%,1
E.Elliott,RB,DAL,52,59,-3.20%,-1.80%,95,567,457,3,81%,0
A.Peterson,RB,WAS,50,50,22.30%,22.20%,26,208,203,1,77%,1
J.Rodgers,RB,TB,49,52,7.10%,8.50%,45,304,269,0,84%,1
W.Smallwood,RB,PHI,49,35,11.20%,4.30%,35,230,241,2,80%,0
D.Cook,RB,MIN,45,54,2.10%,5.30%,49,305,297,2,82%,0
E.McGuire,RB,NYJ,38,29,8.10%,2.70%,31,193,205,1,61%,0
L.Fournette,RB,JAX,37,40,9.60%,11.30%,26,185,191,1,85%,0
A.Jones,RB,GB,33,32,2.20%,1.90%,35,206,212,1,74%,0
M.Davis,RB,SEA,31,16,-0.10%,-6.70%,42,214,228,1,81%,0
C.Clement,RB,PHI,29,30,5.80%,6.40%,25,192,163,0,88%,0
K.Johnson,RB,DET,20,41,-4.80%,4.30%,39,213,203,1,82%,0
D.Lewis,RB,TEN,15,28,-9.80%,-6.20%,67,400,290,1,88%,0
N.Chubb,RB,CLE,14,10,-4.60%,-7.30%,29,149,137,2,69%,0
J.Williams,RB,GB,11,3,-9.30%,-12.40%,41,210,189,0,66%,0
I.Crowell,RB,NYJ,10,-2,-6.80%,-15.20%,28,152,126,0,75%,0
L.Murray,RB,MIN,9,8,-7.50%,-8.70%,26,141,124,0,85%,0
P.Lindsay,RB,DEN,9,14,-10.40%,-8.50%,47,241,206,1,74%,0
