Player,Position,Team,DYAR,YAR,DOVA,VOA,Passes,Yards,EYds,TD,Catch Rate,Fum
Alvin Kamara*\KamaAl00,RB,NO,278,277,36.40%,36.30%,100,826,969,5,81%,0
Todd Gurley*+\GurlTo01,RB,LARM,236,258,35.90%,40.50%,87,788,826,6,74%,0
Chris Thompson\ThomCh03,RB,WAS,223,201,67.30%,59.50%,54,510,657,4,72%,0
Lamar Miller\MillLa01,RB,HOU,134,137,42.70%,44.20%,45,327,446,3,80%,0
Christian McCaffrey\McCaCh01,RB,CAR,128,135,5.70%,6.80%,113,651,730,5,71%,0
Tevin Coleman\ColeTe01,RB,ATL,121,97,41.20%,30.30%,39,299,403,3,69%,0
Duke Johnson\JohnDu00,RB,CLE,110,123,6.70%,9.10%,94,697,611,3,80%,2
Rex Burkhead\BurkRe00,RB,NE,102,99,33.70%,32.10%,36,254,365,3,83%,0
Kareem Hunt*\HuntKa00,RB,KC,102,107,15.60%,16.80%,63,455,460,3,84%,0
Devonta Freeman\FreeDe00,RB,ATL,102,98,23.60%,22.00%,47,317,406,1,77%,0
Le'Veon Bell*+\BellLe00,RB,PIT,101,99,2.50%,2.10%,106,655,652,2,80%,1
Dion Lewis\LewiDi00,RB,NE,90,89,32.00%,31.40%,35,214,326,3,91%,0
James White\WhitJa02,RB,NE,86,87,6.40%,6.70%,72,429,475,3,78%,0
Jalen Richard\RichJa01,RB,OAK,86,82,33.30%,31.00%,36,266,308,1,75%,0
Samaje Perine\PeriSa00,RB,WAS,84,78,42.60%,38.70%,25,184,280,1,92%,0
Austin Ekeler\EkelAu00,RB,LACH,84,85,27.10%,27.80%,35,279,320,3,77%,1
Jamaal Williams\WillJa06,RB,GB,84,81,29.90%,28.40%,34,262,310,2,74%,0
Melvin Gordon\GordMe00,RB,LACH,76,69,3.00%,1.40%,83,476,482,4,70%,0
Benny Cunningham\CunnBe01,RB,CHI,72,74,39.60%,40.60%,26,240,246,2,77%,1
Andre Ellington\ElliAn00,RB,2TM,59,59,5.30%,5.40%,59,369,343,1,66%,0
Leonard Fournette\FourLe00,RB,JAC,58,67,7.20%,10.50%,48,302,317,1,75%,0
J.D. McKissic\McKiJ.00,RB,SEA,49,45,3.90%,2.50%,47,267,297,2,74%,0
Jerick McKinnon\McKiJe00,RB,MIN,48,74,-0.40%,6.80%,68,421,355,2,75%,0
LeSean McCoy*\McCoLe01,RB,BUF,48,53,-1.80%,-0.30%,78,448,378,2,77%,0
Devontae Booker\BookDe00,RB,DEN,45,37,7.70%,3.70%,38,277,243,0,79%,1
Matt Forte\FortMa00,RB,NYJ,44,57,5.60%,11.20%,45,293,254,1,82%,0
Damien Williams\WillDa05,RB,MIA,44,42,12.20%,11.30%,28,155,210,1,71%,0
Kyle Juszczyk*\JuszKy00,RB,SF,41,56,3.70%,9.80%,42,317,253,1,79%,2
Marlon Mack\MackMa00,RB,IND,38,55,9.20%,19.40%,33,225,197,1,64%,0
Theo Riddick\RiddTh00,RB,DET,37,42,-4.60%,-3.30%,71,444,362,2,75%,0
Frank Gore\GoreFr00,RB,IND,35,41,4.10%,7.20%,38,245,211,1,76%,0
