Player,Position,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,Catch Rate,FUM
Tyler Lockett\LockTy00,WR,SEA,464,458,66.30%,65.40%,70,965,"1,162",10,81%,1
DeAndre Hopkins*+\HopkDe00,WR,HOU,455,433,22.60%,20.90%,163,"1,572","1,723",11,71%,2
Michael Thomas*+\ThomMi05,WR,NO,442,473,23.10%,25.60%,147,"1,405","1,658",9,85%,2
Mike Evans*\EvanMi00,WR,TB,412,410,25.20%,25.00%,139,"1,524","1,492",8,62%,1
Tyreek Hill*+\HillTy00,WR,KC,387,356,23.80%,20.90%,137,"1,479","1,434",12,64%,0
Julio Jones*\JoneJu02,WR,ATL,382,416,15.90%,18.50%,170,"1,677","1,651",8,66%,2
T.Y. Hilton\HiltT.00,WR,IND,359,386,23.40%,26.10%,120,"1,270","1,339",6,63%,0
Adam Thielen*\ThieAd00,WR,MIN,341,335,15.20%,14.80%,153,"1,373","1,497",9,74%,1
Keenan Allen*\AlleKe00,WR,LAC,320,296,18.10%,15.70%,136,"1,196","1,320",6,71%,1
Brandin Cooks\CookBr00,WR,LAR,318,313,21.50%,21.00%,117,"1,205","1,227",5,68%,1
Robert Woods\WoodRo02,WR,LAR,316,301,17.50%,16.10%,130,"1,219","1,319",6,66%,0
Tyler Boyd\BoydTy00,WR,CIN,305,310,24.10%,24.70%,108,"1,028","1,125",7,70%,0
Mike Williams\WillMi07,WR,LAC,262,246,39.20%,36.10%,66,664,797,10,65%,0
Alshon Jeffery\JeffAl00,WR,PHI,251,270,21.10%,23.60%,92,840,977,6,71%,1
Kenny Golladay\GollKe00,WR,DET,250,225,13.30%,10.70%,119,"1,063","1,150",5,59%,1
Davante Adams*\AdamDa01,WR,GB,246,264,6.10%,7.40%,169,"1,386","1,432",13,66%,0
JuJu Smith-Schuster*\SmitJu00,WR,PIT,235,195,4.40%,1.50%,167,"1,426","1,465",7,67%,1
Josh Gordon\GordJo02,WR,2TM,193,195,20.40%,20.70%,71,737,762,4,58%,0
Antonio Brown*\BrowAn04,WR,PIT,191,137,1.70%,-2.30%,168,"1,297","1,365",15,62%,0
Amari Cooper*\CoopAm00,WR,2TM,187,196,8.70%,9.80%,107,"1,005",989,7,70%,2
Calvin Ridley\RidlCa00,WR,ATL,167,175,10.20%,11.30%,92,821,840,10,70%,2
Sammy Watkins\WatkSa00,WR,KC,161,147,24.10%,20.80%,55,519,596,3,73%,0
Cooper Kupp\KuppCo00,WR,LAR,158,154,23.80%,22.80%,55,566,586,6,73%,0
A.J. Green\GreeA.00,WR,CIN,155,145,12.40%,10.90%,77,694,732,6,60%,2
DeSean Jackson\JackDe00,WR,TB,153,147,12.20%,11.30%,74,774,724,4,55%,0
Adam Humphries\HumpAd00,WR,TB,152,154,6.70%,6.90%,105,816,857,5,72%,0
Odell Beckham\BeckOd00,WR,NYG,151,154,2.50%,2.80%,124,"1,052","1,036",6,62%,0
Rashard Higgins\HiggRa00,WR,CLE,143,142,22.30%,22.20%,53,572,543,4,74%,2
Marvin Jones\JoneMa02,WR,DET,142,134,15.70%,14.10%,62,508,617,5,56%,0
Mohamed Sanu\SanuMo00,WR,ATL,141,154,6.40%,8.10%,94,838,811,4,70%,2
Jordy Nelson\NelsJo00,WR,OAK,130,114,5.70%,3.40%,88,739,771,3,72%,0
Tyrell Williams\WillTy00,WR,LAC,128,109,12.30%,8.60%,65,653,606,5,63%,2
Kenny Stills\StilKe00,WR,MIA,127,105,12.60%,8.30%,64,553,596,6,58%,0
Chris Hogan\HogaCh00,WR,NE,123,121,14.30%,13.80%,55,532,552,3,64%,0
Julian Edelman\EdelJu00,WR,NE,122,124,1.70%,1.90%,108,850,870,6,69%,0
Emmanuel Sanders\SandEm00,WR,DEN,113,114,2.00%,2.10%,99,877,797,4,72%,0
Doug Baldwin\BaldDo00,WR,SEA,113,112,6.00%,5.90%,73,618,658,5,68%,0
D.J. Moore\MoorD.00,WR,CAR,109,126,4.10%,6.70%,82,788,688,2,67%,1
Chris Godwin\GodwCh00,WR,TB,105,116,1.30%,2.80%,95,842,764,7,62%,4
Corey Davis\DaviCo03,WR,TEN,104,90,-1.20%,-2.70%,112,891,891,4,58%,1
Cole Beasley\BeasCo00,WR,DAL,100,128,2.10%,6.20%,87,672,700,3,75%,0
Sterling Shepard\ShepSt00,WR,NYG,97,111,-0.90%,0.80%,107,872,815,4,62%,0
Demaryius Thomas\ThomDe03,WR,2TM,96,74,0.90%,-2.10%,89,677,715,5,66%,0
Courtland Sutton\SuttCo00,WR,DEN,95,87,1.30%,0.20%,84,704,693,4,50%,0
Seth Roberts\RobeSe00,WR,OAK,86,68,4.70%,1.10%,64,494,532,2,70%,0
Kendrick Bourne\BourKe00,WR,SF,71,74,1.30%,1.90%,66,488,521,4,64%,0
Anthony Miller\MillAn02,WR,CHI,71,87,3.90%,7.50%,54,423,455,7,61%,0
Allen Robinson\RobiAl02,WR,CHI,62,103,-4.80%,0.40%,94,754,738,4,59%,1
Josh Reynolds\ReynJo00,WR,LAR,62,52,1.90%,-0.40%,53,402,437,5,55%,0
Christian Kirk\KirkCh01,WR,ARI,57,57,-1.80%,-1.80%,68,590,508,3,63%,0
Chris Conley\ConlCh00,WR,KC,48,38,-1.00%,-3.30%,52,334,400,5,62%,2
Taywan Taylor\TaylTa00,WR,TEN,43,31,-2.70%,-5.50%,56,466,414,1,66%,1
Antonio Callaway\CallAn00,WR,CLE,40,35,-6.30%,-7.10%,79,586,567,5,54%,1
Curtis Samuel\SamuCu00,WR,CAR,39,61,-5.40%,-1.20%,65,494,488,5,60%,0
Danny Amendola\AmenDa00,WR,MIA,38,25,-6.20%,-8.40%,79,575,539,1,75%,0
Jamison Crowder\CrowJa00,WR,WAS,23,28,-6.20%,-4.90%,49,388,326,2,59%,0
Willie Snead\SneaWi00,WR,BAL,21,20,-9.80%,-10.00%,95,651,651,1,65%,0
David Moore\MoorDa03,WR,SEA,20,21,-7.40%,-7.30%,53,445,338,5,49%,2
Taylor Gabriel\GabrTa00,WR,CHI,19,35,-10.20%,-7.90%,93,688,631,2,72%,1
Chester Rogers\RogeCh02,WR,IND,17,24,-9.70%,-8.40%,72,485,486,2,74%,0
Devin Funchess\FuncDe00,WR,CAR,13,30,-10.50%,-8.00%,79,549,534,4,56%,0
Ryan Grant\GranRy01,WR,IND,12,14,-9.80%,-9.30%,52,334,364,1,67%,0
Marquez Valdes-Scantling\ValdMa00,WR,GB,8,30,-11.30%,-7.70%,73,581,506,2,52%,0
Stefon Diggs\DiggSt00,WR,MIN,8,20,-12.00%,-11.00%,149,"1,021",971,9,68%,0
Josh Doctson\DoctJo00,WR,WAS,7,21,-11.50%,-9.30%,78,532,508,2,56%,0
Robby Anderson\AndeRo04,WR,NYJ,6,13,-11.80%,-10.90%,94,752,587,6,53%,2
John Brown\BrowJo02,WR,BAL,4,-7,-12.20%,-13.60%,97,717,614,5,43%,0
Michael Gallup\GallMi00,WR,DAL,-9,15,-14.30%,-9.70%,68,507,415,2,49%,0
Jarius Wright\WrigJa02,WR,CAR,-12,6,-15.10%,-11.30%,59,447,368,1,73%,3
Donte Moncrief\MoncDo00,WR,JAX,-14,0,-14.80%,-12.60%,89,672,537,3,54%,0
Zay Jones\JoneZa00,WR,BUF,-22,-11,-15.50%,-14.00%,102,652,601,7,55%,1
Larry Fitzgerald\FitzLa00,WR,ARI,-23,-4,-15.30%,-13.10%,112,734,679,6,62%,0
Dede Westbrook\WestDe00,WR,JAX,-25,1,-15.70%,-12.60%,102,717,621,5,65%,2
Laquon Treadwell\TreaLa00,WR,MIN,-27,-24,-19.10%,-18.40%,53,302,302,1,66%,0
Michael Crabtree\CrabMi00,WR,BAL,-33,-43,-16.60%,-17.80%,100,607,632,3,54%,0
Randall Cobb\CobbRa00,WR,GB,-45,-50,-22.10%,-23.20%,61,384,321,2,62%,1
Keelan Cole\ColeKe00,WR,JAX,-48,-41,-21.30%,-20.00%,70,493,380,1,54%,2
Nelson Agholor\AghoNe00,WR,PHI,-69,-33,-21.80%,-17.00%,97,747,514,4,66%,1
Kelvin Benjamin\BenjKe00,WR,2TM,-69,-96,-26.40%,-31.70%,67,380,308,1,37%,0
Jermaine Kearse\KearJe01,WR,NYJ,-95,-130,-28.80%,-34.80%,76,371,338,1,49%,0
John Ross\RossJo00,WR,CIN,-96,-119,-33.30%,-38.40%,58,210,236,7,36%,0
Quincy Enunwa\EnunQu00,WR,NYJ,-105,-87,-32.20%,-28.70%,68,449,283,1,56%,2
Jarvis Landry*\LandJa00,WR,CLE,-111,-121,-22.20%,-23.20%,149,978,777,4,54%,1
Golden Tate\TateGo00,WR,2TM,-134,-88,-27.80%,-22.50%,114,795,523,4,66%,2
Will Fuller\FullWi01,WR,HOU,180,190,34.60%,37.40%,45,503,574,4,71%,0
Robert Foster\FostRo01,WR,BUF,135,141,26.20%,27.90%,44,541,483,3,61%,0
Tre'Quan Smith\SmitTr03,WR,NO,126,126,22.70%,22.60%,44,427,477,5,64%,0
Dante Pettis\PettDa00,WR,SF,109,114,16.80%,18.10%,45,467,461,5,60%,0
Jaron Brown\BrowJa03,WR,SEA,100,93,58.00%,52.90%,19,166,263,5,74%,0
Breshad Perriman\PerrBr02,WR,CLE,97,86,36.60%,31.10%,25,340,305,2,64%,0
Jordan Matthews\MattJo00,WR,PHI,84,86,28.80%,30.00%,28,300,288,2,71%,0
Dontrelle Inman\InmaDo00,WR,IND,69,77,9.10%,11.80%,39,304,358,3,72%,0
Demarcus Robinson\RobiDe01,WR,KC,68,54,13.50%,8.20%,33,288,306,4,67%,0
Geronimo Allison\AlliGe01,WR,GB,66,46,16.80%,7.60%,30,303,281,2,67%,1
Albert Wilson\WilsAl02,WR,MIA,63,65,10.80%,11.30%,35,391,312,4,74%,0
Keith Kirkwood\KirkKe00,WR,NO,58,60,23.50%,24.40%,21,209,217,2,62%,0
Marquise Goodwin\GoodMa00,WR,SF,58,47,3.90%,0.70%,43,395,369,4,53%,1
Phillip Dorsett\DorsPh00,WR,NE,56,73,5.40%,10.60%,42,290,337,3,76%,0
Brandon LaFell\LaFeBr00,WR,OAK,48,47,26.90%,26.80%,16,135,168,2,75%,0
Paul Richardson\RichPa01,WR,WAS,48,54,4.10%,6.40%,35,262,301,2,57%,0
Russell Shepard\ShepRu00,WR,NYG,47,47,20.50%,20.60%,19,188,186,2,53%,0
Aldrick Robinson\RobiAl00,WR,MIN,47,47,4.00%,4.10%,35,231,298,5,49%,0
Terrelle Pryor\PryoTe00,WR,2TM,42,40,6.10%,4.90%,30,252,245,2,53%,0
Cody Latimer\LatiCo00,WR,NYG,40,42,19.70%,21.00%,16,190,160,1,69%,0
Deontay Burnett\BurnDe00,WR,NYJ,37,26,19.70%,10.40%,15,143,147,0,67%,0
T.J. Jones\JoneT.00,WR,DET,37,30,5.70%,2.30%,26,190,217,2,73%,0
Austin Carr\CarrAu00,WR,NO,35,37,17.30%,19.70%,14,97,145,2,64%,0
Tajae Sharpe\SharTa00,WR,TEN,30,22,-4.90%,-6.90%,47,316,356,2,55%,0
Cordarrelle Patterson\PattCo00,WR,NE,29,32,0.60%,1.80%,28,247,220,3,75%,0
Chris Moore\MoorCh00,WR,BAL,28,23,2.50%,-0.40%,25,196,191,1,76%,0
DeAndre Carter\CartDe02,WR,2TM,24,13,0.30%,-5.30%,25,216,184,0,88%,1
Trey Quinn\QuinTr00,WR,WAS,22,22,14.90%,14.90%,10,75,97,1,90%,0
Jakeem Grant\GranJa00,WR,MIA,21,26,-4.60%,-2.70%,34,268,244,2,62%,0
Cameron Meredith\MereCa00,WR,NO,21,29,16.90%,28.30%,10,114,89,1,90%,1
Tavon Austin\AustTa00,WR,DAL,19,25,5.10%,11.00%,13,140,116,2,62%,0
Jake Kumerow\KumeJa00,WR,GB,19,26,8.80%,17.00%,11,103,99,1,73%,0
Trent Sherfield\SherTr00,WR,ARI,18,33,-4.30%,3.20%,28,210,196,1,68%,0
Brice Butler\ButlBr00,WR,2TM,17,7,9.60%,-3.10%,10,60,87,1,60%,0
Equanimeous St. Brown\St.BEq00,WR,GB,16,30,-7.20%,-2.20%,36,328,259,0,58%,0
Cameron Batson\BatsCa00,WR,TEN,15,14,4.70%,3.70%,11,88,93,0,73%,0
Torrey Smith\SmitTo02,WR,CAR,15,27,-6.50%,-1.40%,30,190,216,2,57%,0
Martavis Bryant\BryaMa00,WR,OAK,13,12,-6.70%,-6.80%,27,266,192,0,70%,1
Richie James\JameRi00,WR,SF,11,14,-2.80%,0.00%,14,130,103,1,64%,0
Allen Hurns\HurnAl01,WR,DAL,9,22,-9.30%,-4.90%,35,295,239,2,57%,1
Vyncint Smith\SmitVy00,WR,HOU,8,3,-3.30%,-8.50%,10,91,78,1,50%,0
Andre Holmes\HolmAn00,WR,2TM,7,0,-8.70%,-12.50%,24,162,158,0,54%,0
Keke Coutee\CoutKe00,WR,HOU,7,7,-10.50%,-10.40%,41,287,253,1,68%,0
Ryan Switzer\SwitRy00,WR,PIT,5,-7,-11.10%,-14.50%,44,253,299,1,82%,0
Bilal Powell\PoweBi00,WR,DET,4,2,-9.20%,-11.50%,17,129,112,0,65%,0
Travis Benjamin\BenjTr00,WR,LAC,2,-5,-11.70%,-15.50%,24,186,148,1,50%,0
Marvin Hall\HallMa02,WR,ATL,1,1,-12.00%,-12.00%,19,149,116,1,53%,0
Cody Core\CoreCo00,WR,CIN,0,-14,-12.80%,-19.10%,28,160,173,1,46%,0
Justin Hardy\HardJu00,WR,ATL,0,11,-12.80%,-6.80%,22,133,147,2,64%,0
Darius Jennings\JennDa00,WR,TEN,-1,-2,-13.20%,-14.90%,15,101,88,0,73%,0
Damion Ratley\RatlDa00,WR,CLE,-2,-5,-14.30%,-15.90%,20,144,122,0,65%,0
Alex Erickson\EricAl01,WR,CIN,-8,-4,-16.40%,-14.40%,29,167,169,0,69%,0
Russell Gage\GageRu00,WR,ATL,-9,-10,-24.20%,-25.40%,10,63,49,0,60%,0
Eli Rogers\RogeEl00,WR,PIT,-10,-11,-20.80%,-21.90%,14,79,84,0,86%,1
Bennie Fowler\FowlBe00,WR,NYG,-12,-7,-18.40%,-16.00%,27,199,152,1,59%,1
Tim Patrick\PatrTi00,WR,DEN,-16,-20,-17.60%,-19.00%,41,315,236,1,56%,2
Brandon Marshall\MarsBr00,WR,SEA,-16,-20,-22.30%,-24.80%,23,136,112,1,48%,0
DaeSean Hamilton\HamiDa01,WR,DEN,-20,-32,-18.10%,-21.10%,46,243,275,2,65%,0
Ted Ginn\GinnTe00,WR,NO,-21,-9,-21.60%,-16.70%,30,209,156,2,57%,1
Isaiah McKenzie\McKeIs00,WR,BUF,-25,-23,-23.80%,-22.70%,30,179,147,0,60%,0
Josh Bellamy\BellJo02,WR,CHI,-26,-28,-25.50%,-26.60%,25,117,124,1,56%,0
Trent Taylor\TaylTr02,WR,SF,-27,-31,-21.10%,-22.50%,41,215,218,1,63%,0
Deonte Thompson\ThomDe04,WR,2TM,-27,-22,-24.10%,-22.00%,30,161,152,0,57%,0
Zach Pascal\PascZa00,WR,IND,-28,-25,-20.50%,-19.80%,46,268,250,2,59%,0
Andre Roberts*+\RobeAn00,WR,NYJ,-29,-35,-34.30%,-38.50%,18,79,67,1,56%,0
Pierre Garcon\GarcPi00,WR,SF,-31,-37,-21.30%,-23.10%,46,286,243,1,52%,0
Andy Jones\JoneAn01,WR,DET,-31,-44,-29.00%,-35.60%,24,80,109,1,46%,0
James Washington\WashJa00,WR,PIT,-37,-51,-25.10%,-29.50%,38,217,190,1,42%,0
Marcell Ateman\AtemMa00,WR,OAK,-38,-57,-28.50%,-36.60%,31,154,137,1,48%,0
JJ Nelson\NelsJJ00,WR,ARI,-46,-40,-41.60%,-37.60%,19,64,62,0,37%,0
Auden Tate\TateAu00,WR,CIN,-48,-55,-65.00%,-73.60%,12,35,4,0,33%,0
DeVante Parker\ParkDe01,WR,MIA,-52,-59,-26.60%,-28.60%,48,309,226,1,51%,0
Justin Hunter\HuntJu00,WR,PIT,-54,-65,-64.20%,-74.00%,13,21,6,0,23%,0
Bruce Ellington\ElliBr00,WR,2TM,-56,-54,-30.30%,-29.70%,42,224,175,1,74%,0
Michael Floyd\FloyMi00,WR,WAS,-58,-53,-43.20%,-40.70%,24,100,68,1,42%,0
Maurice Harris\HarrMa05,WR,WAS,-73,-66,-33.20%,-31.10%,47,304,181,0,60%,0
DJ Chark\CharDJ00,WR,JAX,-90,-95,-47.40%,-49.00%,32,174,78,0,44%,1
Chad Williams\WillCh05,WR,ARI,-142,-139,-53.50%,-52.50%,46,171,74,1,37%,0
Kareem Hunt\HuntKa00,RB,KC,198,198,79.40%,79.70%,35,378,560,7,74%,0
Alvin Kamara*\KamaAl00,RB,NO,197,203,19.40%,20.50%,105,709,831,4,77%,0
James White\WhitJa02,RB,NE,194,200,13.50%,14.30%,123,751,907,7,71%,0
Tarik Cohen*+\CoheTa00,RB,CHI,184,197,21.30%,23.60%,91,725,757,5,78%,1
Christian McCaffrey\McCaCh01,RB,CAR,183,209,11.50%,15.20%,124,867,894,6,86%,2
Jalen Richard\RichJa01,RB,OAK,138,144,17.40%,18.90%,81,607,600,0,84%,0
Austin Ekeler\EkelAu00,RB,LAC,131,116,30.30%,25.40%,53,404,481,3,74%,1
Kenyan Drake\DrakKe00,RB,MIA,123,99,14.00%,8.60%,74,477,568,5,73%,0
James Conner*\ConnJa00,RB,PIT,112,102,15.20%,12.60%,71,497,503,1,77%,1
Matt Breida\BreiMa00,RB,SF,105,113,44.80%,49.00%,31,261,346,2,87%,0
Duke Johnson\JohnDu00,RB,CLE,103,101,12.90%,12.40%,62,429,488,3,76%,1
Todd Gurley*+\GurlTo01,RB,LAR,98,119,6.90%,11.50%,81,580,538,4,73%,1
Saquon Barkley*\BarkSa00,RB,NYG,86,79,-0.70%,-1.70%,121,721,643,4,75%,0
Jaylen Samuels\SamuJa00,RB,PIT,79,96,36.40%,47.00%,29,199,274,3,90%,0
Nyheim Hines\HineNy00,RB,IND,79,62,3.50%,-0.20%,81,425,488,2,78%,0
Tevin Coleman\ColeTe01,RB,ATL,77,80,17.20%,18.40%,44,276,335,5,73%,1
T.J. Yeldon\YeldT.00,RB,JAX,76,70,3.00%,1.60%,79,482,483,4,71%,0
Kyle Juszczyk*\JuszKy00,RB,SF,76,82,18.70%,21.60%,41,324,322,1,73%,1
Melvin Gordon*\GordMe00,RB,LAC,72,82,5.50%,8.20%,66,490,413,4,76%,1
Ezekiel Elliott*\ElliEz00,RB,DAL,52,59,-3.20%,-1.80%,95,567,457,3,81%,0
Adrian Peterson\PeteAd01,RB,WAS,50,50,22.30%,22.20%,26,208,203,1,77%,1
Jacquizz Rodgers\RodgJa00,RB,TB,49,52,7.10%,8.50%,45,304,269,0,84%,1
Wendell Smallwood\SmalWe00,RB,PHI,49,35,11.20%,4.30%,35,230,241,2,80%,0
Dalvin Cook\CookDa01,RB,MIN,45,54,2.10%,5.30%,49,305,297,2,82%,0
Elijah McGuire\McGuEl00,RB,NYJ,38,29,8.10%,2.70%,31,193,205,1,61%,0
Leonard Fournette\FourLe00,RB,JAX,37,40,9.60%,11.30%,26,185,191,1,85%,0
Aaron Jones\JoneAa00,RB,GB,33,32,2.20%,1.90%,35,206,212,1,74%,0
Mike Davis\DaviMi01,RB,SEA,31,16,-0.10%,-6.70%,42,214,228,1,81%,0
Corey Clement\ClemCo00,RB,PHI,29,30,5.80%,6.40%,25,192,163,0,88%,0
Kerryon Johnson\JohnKe06,RB,DET,20,41,-4.80%,4.30%,39,213,203,1,82%,0
Dion Lewis\LewiDi00,RB,TEN,15,28,-9.80%,-6.20%,67,400,290,1,88%,0
