Player,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,Catch Rate,FUM
Christian McCaffrey*+\McCaCh01,CAR,385,353,0.345,0.306,143,1005,1364,4,0.81,0
Austin Ekeler\EkelAu00,LAC,323,362,0.391,0.457,108,993,1097,8,0.85,2
Dalvin Cook*\CookDa01,MIN,145,140,0.297,0.281,63,519,539,0,0.84,1
James White\WhitJa02,NE,145,182,0.155,0.229,95,645,654,5,0.76,0
Mark Ingram*\IngrMa01,BAL,138,147,0.666,0.721,30,247,407,5,0.87,0
Duke Johnson\JohnDu00,HOU,126,116,0.25,0.221,62,410,484,3,0.71,0
Miles Sanders\SandMi01,PHI,122,136,0.204,0.242,63,509,508,3,0.79,0
David Johnson\JohnDa08,ARI,116,113,0.3,0.286,47,370,431,4,0.77,1
Jamaal Williams\WillJa06,GB,105,105,0.282,0.281,45,253,395,5,0.87,0
Kyle Juszczyk*\JuszKy00,SF,98,109,0.477,0.54,24,239,318,1,0.83,0
Ezekiel Elliott*\ElliEz00,DAL,95,83,0.112,0.08,72,418,470,2,0.75,0
Joe Mixon\MixoJo00,CIN,87,82,0.197,0.179,45,287,365,3,0.78,0
Alvin Kamara*\KamaAl00,NO,85,47,0.02,-0.051,97,533,562,1,0.84,1
DeAndre Washington\WashDe00,OAK,81,83,0.256,0.265,40,292,314,0,0.9,0
James Conner\ConnJa00,PIT,74,89,0.197,0.265,39,251,310,3,0.87,0
Boston Scott\ScotBo02,PHI,68,63,0.295,0.264,26,204,252,0,0.92,1
Kareem Hunt\HuntKa00,CLE,67,77,0.122,0.162,45,285,320,1,0.82,0
Chris Carson\CarsCh00,SEA,62,45,0.117,0.047,46,267,302,2,0.8,1
Devonta Freeman\FreeDe00,ATL,49,52,-0.015,-0.008,71,410,388,4,0.83,1
Derrick Henry*\HenrDe00,TEN,42,41,0.178,0.17,25,206,183,2,0.72,0
Jalen Richard\RichJa01,OAK,41,55,0.033,0.091,43,323,255,0,0.84,1
Patrick Laird\LairPa00,MIA,39,52,0.088,0.161,30,204,206,0,0.77,0
Ronald Jones\JoneRo01,TB,39,51,0.045,0.103,41,309,231,0,0.76,1
Rex Burkhead\BurkRe00,NE,38,28,0.043,-0.002,38,279,228,0,0.71,1
Chris Thompson\ThomCh03,WAS,36,22,-0.015,-0.064,58,378,284,0,0.72,1
Dare Ogunbowale\OgunDa00,TB,32,20,-0.024,-0.066,46,286,267,0,0.76,1
Aaron Jones\JoneAa00,GB,32,50,-0.06,-0.015,69,474,357,3,0.71,1
Damien Williams\WillDa05,KC,26,35,-0.029,0.013,37,213,220,2,0.81,0
Josh Jacobs\JacoJo01,OAK,26,26,0.024,0.029,28,166,165,0,0.71,0
Kenyan Drake\DrakKe00,2TM,25,-22,-0.075,-0.195,68,345,334,0,0.74,0
Tevin Coleman\ColeTe01,SF,24,29,0.002,0.032,30,180,169,1,0.7,0
Latavius Murray\MurrLa00,NO,21,25,-0.048,-0.027,43,235,206,1,0.79,0
Melvin Gordon\GordMe00,LAC,21,16,-0.067,-0.083,55,296,249,1,0.76,1
Jaylen Samuels\SamuJa00,PIT,19,25,-0.083,-0.068,57,305,292,1,0.82,1
David Montgomery\MontDa01,CHI,17,9,-0.048,-0.088,35,185,167,1,0.71,0
Royce Freeman\FreeRo00,DEN,13,16,-0.088,-0.077,50,256,215,1,0.86,0
J.D. McKissic\McKiJ.00,DET,13,-1,-0.078,-0.141,42,233,178,1,0.81,0
Le'Veon Bell\BellLe00,NYJ,6,34,-0.124,-0.059,78,461,322,1,0.85,1
Dion Lewis\LewiDi00,TEN,3,-7,-0.116,-0.185,32,164,116,1,0.78,0
C.J. Ham*\HamxC.00,MIN,3,-2,-0.123,-0.149,27,149,130,1,0.63,0
Todd Gurley\GurlTo01,LAR,-5,-26,-0.155,-0.23,50,207,193,2,0.62,0
Nick Chubb*\ChubNi00,CLE,-11,7,-0.181,-0.113,50,278,162,0,0.72,1
Leonard Fournette\FourLe00,JAX,-14,-25,-0.165,-0.186,101,524,354,0,0.76,1
Nyheim Hines\HineNy00,IND,-19,1,-0.2,-0.135,58,320,184,0,0.76,1
LeSean McCoy\McCoLe01,KC,-33,-14,-0.314,-0.214,35,181,66,1,0.83,1
Tarik Cohen\CoheTa00,CHI,-33,-48,-0.196,-0.222,104,456,344,3,0.76,1
Saquon Barkley\BarkSa00,NYG,-35,-23,-0.222,-0.194,73,438,223,2,0.71,1
Ty Johnson\JohnTy02,DET,-44,-59,-0.398,-0.483,31,109,30,0,0.77,1
Giovani Bernard\BernGi00,CIN,-53,-57,-0.376,-0.393,43,234,50,0,0.7,2
Devin Singletary\SingDe00,BUF,-53,-57,-0.371,-0.391,42,194,53,2,0.69,0
Phillip Lindsay\LindPh00,DEN,-67,-55,-0.388,-0.344,48,196,53,0,0.73,0
