Player,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,Catch Rate,FUM,DPI
,,,,,,,,,,,,
R.Gronkowski,NE,339,347,40.40%,41.60%,105,"1,084","1,337",8,66%,1,5/126
T.Kelce,KC,197,206,17.00%,18.10%,122,"1,038","1,115",8,68%,0,0/0
H.Henry,LACH,165,183,32.30%,36.70%,62,579,710,4,73%,0,13-Feb
Z.Ertz,PHI,154,129,14.20%,10.70%,110,829,941,8,67%,1,0/0
C.Brate,TB,154,114,24.70%,16.40%,77,591,742,6,62%,0,0/0
C.Fleener,NO,107,99,50.10%,45.80%,30,295,390,2,73%,0,0/0
O.J.Howard,TB,101,91,32.20%,28.20%,39,433,436,6,67%,3,0/0
G.Celek,SF,89,82,31.50%,28.70%,33,336,387,4,64%,0,0/0
K.Rudolph,MIN,88,91,8.80%,9.40%,81,532,654,8,70%,0,0/0
T.Burton,PHI,85,86,35.00%,35.70%,31,248,354,5,74%,0,0/0
E.Dickson,CAR,83,78,18.10%,16.40%,48,437,458,1,63%,0,10-Jan
N.O'Leary,BUF,73,77,29.90%,32.00%,32,322,323,2,69%,1,0/0
A.Hooper,ATL,71,47,9.40%,3.80%,65,526,510,3,75%,0,0/0
V.Davis,WAS,61,37,6.70%,1.20%,69,648,500,3,62%,2,0/0
R.Ellison,NYG,56,57,17.70%,18.20%,32,235,309,2,75%,0,0/0
G.Kittle,SF,55,59,5.60%,6.50%,63,515,477,2,68%,0,22-Jan
J.Cook,OAK,53,76,2.10%,6.20%,86,688,593,2,63%,1,23-Feb
E.Ebron,DET,50,24,2.00%,-2.80%,86,574,562,4,62%,1,0/0
D.Fells,DET,48,38,21.90%,16.00%,26,177,242,3,65%,0,0/0
J.Witten,DAL,40,37,-0.40%,-0.90%,87,560,572,5,72%,0,5-Jan
T.Kroft,CIN,35,45,1.30%,3.80%,62,404,424,7,68%,0,0/0
M.Lewis,JAC,27,42,1.00%,5.60%,48,318,333,5,50%,0,18-Jan
Z.Miller,CHI,24,20,4.40%,2.30%,35,236,223,2,57%,0,0/0
J.Gresham,ARI,22,15,-0.10%,-2.40%,46,322,311,2,72%,0,5-Jan
C.Clay,BUF,22,37,-2.80%,0.20%,74,558,462,2,66%,1,13-Jan
A.Gates,LACH,13,5,-3.20%,-5.80%,52,316,302,3,58%,0,0/0
J.Graham,SEA,9,-4,-6.00%,-7.80%,96,520,598,10,59%,0,10-Jan
R.Seals-Jones,ARI,5,13,-4.60%,-0.10%,28,201,167,3,43%,0,0/0
M.Bennett,2TM,-1,-12,-7.50%,-11.10%,44,286,256,0,68%,0,Feb-33
B.Watson,BAL,-1,20,-7.50%,-3.50%,79,522,434,4,77%,1,0/0
J.Doyle,IND,-2,31,-7.50%,-2.80%,108,690,573,4,74%,2,0/0
D.Walker,TEN,-3,33,-7.60%,-2.70%,111,807,605,3,67%,2,0/0
E.Engram,NYG,-5,-20,-8.00%,-9.80%,115,722,637,6,56%,0,0/0
R.Griffin,HOU,-6,-9,-11.00%,-13.40%,26,158,118,1,50%,0,0/0
J.Reed,WAS,-7,-18,-10.10%,-14.80%,35,211,182,2,77%,1,0/0
T.Higbee,LARM,-9,-19,-10.40%,-13.70%,45,295,233,1,56%,0,0/0
D.Njoku,CLE,-10,-2,-9.70%,-7.70%,60,386,326,4,53%,0,Mar-40
D.Sims,CHI,-12,-10,-14.30%,-13.00%,29,180,122,1,52%,0,0/0
B.Celek,PHI,-14,-9,-15.60%,-13.00%,24,130,108,1,54%,0,13-Jan
S.DeValve,CLE,-15,-5,-11.50%,-8.70%,58,395,266,1,57%,1,15-Jan
G.Everett,LARM,-20,-36,-17.00%,-24.80%,32,244,128,2,50%,1,0/0
S.Anderson,HOU,-22,-10,-14.00%,-10.20%,52,342,233,1,48%,0,18-Feb
J.James,PIT,-23,2,-12.80%,-6.80%,63,372,303,3,68%,0,0/0
J.Thomas,MIA,-30,-28,-14.60%,-14.00%,62,388,281,3,66%,1,0/0
N.Boyle,BAL,-32,-37,-19.30%,-21.00%,37,203,154,0,76%,0,0/0
D.Harris,KC,-37,-30,-23.30%,-20.20%,35,224,113,1,51%,0,0/0
L.Kendricks,GB,-40,-42,-22.70%,-23.80%,35,203,129,1,51%,0,Jan-33
J.Smith,TEN,-44,-37,-30.70%,-27.10%,30,157,62,2,60%,0,0/0
G.Olsen,CAR,-44,-39,-24.50%,-22.30%,38,191,120,1,45%,0,8-Feb
A.J.Derby,2TM,-53,-49,-27.30%,-25.90%,40,244,106,2,53%,1,0/0
A.Seferian-Jenkins,NYJ,-83,-83,-23.40%,-23.40%,74,357,252,3,68%,1,Mar-48
A.Shaheen,CHI,40,52,26.00%,36.10%,14,127,188,3,86%,0,1-Jan
L.Toilolo,ATL,38,37,29.60%,29.40%,14,122,168,1,86%,0,0/0
E.Tomlinson,NYJ,38,27,44.10%,29.80%,11,121,143,1,73%,0,0/0
N.Vannett,SEA,36,30,31.00%,24.80%,15,124,157,1,80%,0,0/0
R.Rodgers,GB,28,30,18.80%,20.10%,19,160,154,1,63%,0,0/0
D.Morgan,MIN,24,21,20.30%,17.00%,12,95,123,1,83%,0,0/0
