Player,Position,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,Catch Rate,FUM
G.Kittle,TE,SF,207,180,15.10%,12.10%,136,"1,377","1,231",5,65%,0
T.Kelce,TE,KC,196,206,11.50%,12.50%,150,"1,336","1,308",10,69%,2
O.J.Howard,TE,TB,169,160,44.00%,41.30%,48,565,647,5,71%,0
M.Andrews,TE,BAL,159,149,36.20%,33.50%,50,552,655,3,68%,0
J.Cook,TE,OAK,146,143,13.80%,13.40%,101,896,899,6,67%,0
R.Gronkowski,TE,NE,98,123,13.30%,18.60%,72,682,616,3,65%,1
J.James,TE,PIT,96,104,27.30%,30.20%,39,423,443,2,77%,0
Z.Ertz,TE,PHI,93,120,1.60%,4.20%,155,"1,166","1,078",8,74%,1
K.Rudolph,TE,MIN,91,59,8.60%,2.90%,82,634,681,4,78%,0
B.Watson,TE,NO,73,74,15.20%,15.50%,46,400,434,2,76%,0
E.Ebron,TE,IND,68,51,2.00%,-0.40%,110,750,770,13,60%,0
B.Jarwin,TE,DAL,68,69,24.00%,24.40%,36,307,332,3,75%,0
V.Davis,TE,WAS,60,63,19.00%,20.40%,36,367,321,2,69%,0
G.Olsen,TE,CAR,57,57,14.60%,14.50%,38,291,346,4,71%,0
A.Hooper,TE,ATL,56,52,2.20%,1.50%,88,660,616,4,81%,0
T.Higbee,TE,LAR,54,49,15.00%,13.00%,34,292,322,2,71%,1
V.McDonald,TE,PIT,51,48,3.60%,2.90%,72,609,507,4,69%,2
C.Herndon,TE,NYJ,50,57,6.30%,8.10%,56,502,422,4,70%,1
E.Engram,TE,NYG,50,32,4.80%,0.50%,64,577,454,3,70%,0
R.Ellison,TE,NYG,48,23,14.40%,3.30%,34,272,289,1,74%,0
D.Goedert,TE,PHI,38,37,5.10%,4.80%,44,334,340,4,75%,0
J.Thomas,TE,HOU,38,44,12.50%,15.90%,27,215,243,4,74%,0
I.Thomas,TE,CAR,27,10,0.90%,-4.20%,49,333,335,2,73%,0
J.Akins,TE,HOU,24,26,8.30%,9.20%,25,225,185,0,68%,0
T.Burton,TE,CHI,24,36,-2.70%,-0.30%,76,569,489,6,71%,1
L.Kendricks,TE,GB,12,10,-0.10%,-1.70%,25,170,173,1,76%,0
J.Smith,TE,TEN,11,14,-1.80%,-0.20%,30,258,185,3,67%,1
J.Graham,TE,GB,4,-18,-6.60%,-10.40%,89,636,490,2,62%,0
G.Everett,TE,LAR,2,-19,-6.60%,-13.20%,50,319,280,3,66%,0
N.Vannett,TE,SEA,2,-6,-6.50%,-9.10%,43,269,258,3,67%,1
C.Brate,TE,TB,2,-7,-6.80%,-9.30%,49,289,277,6,61%,1
A.Gates,TE,LAC,0,10,-7.40%,-3.60%,45,333,241,2,62%,1
J.Doyle,TE,IND,0,15,-7.40%,-0.60%,33,245,188,2,79%,1
M.LaCosse,TE,DEN,-1,-13,-7.60%,-12.70%,37,250,196,1,65%,0
V.Green,TE,LAC,-2,8,-8.20%,-2.90%,27,210,153,1,70%,0
G.Swaim,TE,DAL,-9,-15,-11.60%,-14.20%,32,242,161,1,81%,0
D.Harris,TE,KC,-14,-4,-15.60%,-9.70%,25,164,110,3,48%,0
