Player,Team,Salary Cap Value,Cash Spent
Rob Gronkowski\GronRo00,Patriots,11671875,9671875
Jordan Reed\ReedJo02,Redskins,10206250,8453125
Travis Kelce\KelcTr00,Chiefs,9955900,8050000
Charles Clay\ClayCh00,Bills,9000000,4500000
Delanie Walker\WalkHu00,Titans,8870000,11135625
Greg Olsen\OlseGr00,Panthers,7950000,12350000
Kyle Rudolph\RudoKy00,Vikings,7675000,6375000
Jermaine Gresham\GresJe00,Cardinals,7218750,5468750
Cameron Brate\BratCa00,Buccaneers,7000000,7000000
Eric Ebron\EbroEr00,Colts,6750000,7000000
Dion Sims\SimsDi00,Bears,6333333,6000000
Trey Burton\BurtTr01,Bears,6050000,11300000
Jimmy Graham\GrahJi00,Packers,5916666,13000000
Jared Cook\CookJa02,Raiders,5675000,5300000
Jack Doyle\DoylJa00,Colts,5618750,5337500
Vernon Davis\DaviVe00,Redskins,5333333,3968750
Zach Ertz\ErtzZa00,Eagles,4937500,8100000
Tyler Eifert\EifeTy00,Bengals,4687500,4750000
Dwayne Allen\AlleDw00,Patriots,3875000,3406250
Rhett Ellison\ElliRh00,Giants,3750000,2500000
Lee Smith\SmitLe00,Raiders,3616666,4350000
Darren Fells\FellDa01,Browns,3600000,5000000
Josh Hill\HillJo02,Saints,3583334,5000000
Austin Seferian-Jenkins\SefeAu00,Jaguars,3301250,4328125
Ryan Griffin\GrifRy00,Texans,2687500,2687500
Garrett Celek\CeleGa00,49ers,2675000,2028125
O.J. Howard\HowaO.00,Buccaneers,2521558,969312
Antonio Gates\GateAn00,Chargers,2500000,2500000
Luke Willson\WillLu00,Lions,2500000,2500000
Evan Engram\EngrEv00,Giants,2436033,952207
Lance Kendricks\KendLa00,Packers,2225000,1625000
David Njoku\NjokDa00,Browns,2164851,897970
Vance McDonald\McDoVa00,Steelers,2136250,4553125
Marcedes Lewis\LewiMa00,Packers,2100000,2100000
Demetrius Harris\HarrDe03,Chiefs,2097059,1884559
Tyler Kroft\KrofTy00,Bengals,2068944,1907000
Hayden Hurst\HursHa00,Ravens,2006551,6586204
Ben Watson\WatsBe00,Saints,2000000,2000000
Derek Carrier\CarrDe00,Raiders,2000000,2000000
Jesse James\JameJe00,Steelers,1959228,1907000
Michael Hoomanawanui,Saints,1933334,1600000
Neal Sterling\SterNe00,Jets,1907000,1907000
Ed Dickson\DickEd00,Seahawks,1866666,3600000
Virgil Green\GreeVi00,Chargers,1800000,3400000
Hunter Henry,Chargers,1740084,1030028
Levine Toilolo\ToilLe00,Lions,1500000,1500000
Gerald Everett\EverGe00,Rams,1373738,739748
Adam Shaheen\ShahAd00,Bears,1343299,733660
Maxx Williams\WillMa04,Ravens,1289506,987645
Mike Gesicki\GesiMi00,Dolphins,1202168,3368672
Luke Stocker\StocLu00,Titans,1137500,1375000
MarQueis Gray,Dolphins,1075000,975000
Dallas Goedert\GoedDa00,Eagles,1022597,2650388
Daniel Brown,Bears,912500,925000
Jeff Heuerman\HeueJe00,Broncos,875201,720000
Austin Hooper\HoopAu00,Falcons,842881,656000
Nick Vannett\VannNi00,Seahawks,816220,652000
Nick O'Leary\OLeaNi00,Dolphins,805000,905000
Tyler Higbee\HigbTy00,Rams,775215,630000
CJ Uzomah,Bengals,758191,705000
Jonnu Smith\SmitJo01,Titans,755572,579000
Nick Boyle\BoylNi00,Ravens,740451,705000
Seth Devalve\DevaSe00,Browns,725848,630000
Logan Paulsen\PaulLo00,Falcons,720000,1005000
Richard Rodgers\RodgRi00,Eagles,720000,880000
Geoff Swaim\SwaiGe00,Cowboys,718683,705000
James O'Shaughnessy\O'ShJa00,Jaguars,714000,714000
A.J. Derby\DerbA.00,Dolphins,705000,705000
Scott Simonson\SimoSc00,Giants,705000,705000
Mark Andrews\AndrMa00,Ravens,689165,1316660
Michael Roberts\RobeMi01,Lions,673576,523765
Jordan Akins\AkinJo00,Texans,670379,1241516
Ian Thomas\ThomIa00,Panthers,666998,1227992
David Morgan\MorgDa01,Vikings,663864,630000
Christopher Herndon IV,Jets,657842,1191368
Durham Smythe\SmytDu00,Dolphins,638058,1112232
Ben Braunecker\BrauBe00,Bears,630000,630000
Ross Travis,Colts,630000,630000
Xavier Grimble\GrimXa00,Steelers,630000,630000
Logan Thomas\ThomLo00,Bills,630000,790000
Chris Manhertz\ManhCh00,Panthers,630000,630000
Eric Tomlinson\TomlEr01,Jets,630000,630000
George Kittle\KittGe00,49ers,629574,555000
Jordan Leggett\LeggJo00,Jets,625513,555000
Jeremy Sprinkle\SpriJe00,Redskins,624129,555000
Eric Saubert\SaubEr00,Falcons,611850,555000
Dalton Schultz\SchuDa00,Cowboys,593089,932356
MyCole Pruitt\PruiMy00,Titans,592941,592941
Orson Charles\CharOr00,Browns,588176,731412
Blake Jarwin\JarwBl00,Cowboys,563866,555000
Antony Auclair\AuclAn00,Buccaneers,561666,555000
Sean Culkin\CulkSe00,Chargers,559000,555000
Jacob Hollister\HollJa03,Patriots,558333,555000
Ricky Seals-Jones\SealRi00,Cardinals,555000,555000
Matt LaCosse\LaCoMa00,Broncos,555000,555000
Will Dissly\DissWi00,Seahawks,553096,1040797
Tyler Conklin\ConkTy00,Vikings,550258,761032
Jaylen Samuels\SamuJa00,Steelers,544516,738064
Jordan Thomas\ThomJo05,Texans,509602,598408
Rico Gathers\GathRi00,Cowboys,496666,480000
Joshua Perkins\PerkJo02,Eagles,482118,482118
Jason Croom\CrooJa00,Bills,482000,484000
Robert Tonyan\TonyRo00,Packers,480000,480000
Johnny Mundt\MundJo00,Rams,480000,480000
Jake Butt\ButtJa00,Broncos,458884,383647
Brian Parker\ParkBr00,Broncos,457059,457059
Blake Bell\BellBl00,Jaguars,456176,456176
Matt Lengel\LengMa00,Bengals,444706,444706
Troy Fumagalli,Broncos,433451,644804
Mason Schreck,Bengals,427247,411176
Alex Ellis,Chiefs,419647,419647
Zach Miller,Bears,393000,458000
Ryan Izzo,Patriots,380268,432072
Cethan Carter,Bengals,380000,378000
Dillon Gordon,Chiefs,378000,378000
Josiah Price,Vikings,363000,363000
Manasseh Garner,Redskins,363000,363000
Jake McGee,Steelers,363000,363000
Austin Roberts,Chargers,363000,363000
Cole Hikutini,Vikings,340000,340000
Ross Dwelley\DwelRo00,49ers,338824,338824
Mo Alie-Cox\AlieMo00,Colts,338823,338823
John Phillips\PhilJo00,Cardinals,333529,484412
Deon Yelder,Chiefs,282353,282353
Jordan Franks\FranJo03,Bengals,282353,282353
Ben Koyack,Jaguars,259412,259412
Stephen Anderson,Patriots,255000,255000
Pharaoh Brown,Browns,254824,254824
Darren Waller\WallDa01,Raiders,185294,185294
Temarrick Hemingway,Broncos,163235,163235
Darrell Daniels,Cardinals,163235,163235
Garrett Dickerson,Giants,141176,141176
Henry Krieger-Coble,Rams,129200,129200
Nate Wozniak,Saints,129200,129200
Garrett Griffin,Saints,129200,129200
Alex Gray,Falcons,129200,129200
Jaeden Graham,Falcons,129200,129200
Christian Scotland-Williamson,Steelers,129200,129200
Bucky Hodges,Steelers,129200,129200
Vince Mayle,Chargers,106400,106400
Jerome Cunningham,Lions,97941,97941
Jerell Adams,Texans,91200,91200
Pharoah McKever,Jaguars,91200,91200
Keith Towbridge,Bills,91200,91200
David Wells,Chiefs,91200,91200
Cole Wick,Titans,87529,87529
Matt Flanagan\FlanMa00,Redskins,84706,84706
Tanner Hudson,Buccaneers,84706,84706
Gabe Holmes,Cardinals,68400,68400
Ethan Wolf,Packers,68400,68400
Jason Vander Laan,Panthers,65294,65294
Andrew Vollert,Bengals,60800,60800
Paul Butler,Raiders,56471,56471
Donnie Ernsberger,Buccaneers,56471,56471
Will Tye,Eagles,53200,53200
Clive Walford,Jets,41471,41471
Tyrone Swoopes\SwooTy00,Seahawks,38000,38000
Malcolm Johnson,Packers,38000,38000
Nick Keizer,Ravens,38000,38000
Hakeem Valles\VallHa00,Giants,38000,38000
Tim Semisch,Broncos,38000,38000
Billy Brown,Colts,30400,30400
J.P. Holtz,Redskins,28235,28235
Kyle Carter,Bills,22800,22800
Erik Swoope\SwooEr00,Colts,7600,7600
Evan Baylis,Packers,7600,7600
Stephen Anderson,Patriots,0,0
Ben Koyack,,0,0
