Player,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,Catch Rate,FUM,DPI
T.Lockett,SEA,464,458,66.30%,65.40%,70,965,"1,162",10,81%,1,6/182
D.Hopkins,HOU,455,433,22.60%,20.90%,163,"1,572","1,723",11,71%,2,Feb-43
M.Thomas,NO,442,473,23.10%,25.60%,147,"1,405","1,658",9,85%,2,8/102
M.Evans,TB,412,410,25.20%,25.00%,139,"1,524","1,492",8,62%,1,28-Feb
T.Hill,KC,387,356,23.80%,20.90%,137,"1,479","1,434",12,64%,0,0/0
J.Jones,ATL,382,416,15.90%,18.50%,170,"1,677","1,651",8,66%,2,Mar-98
T.Y.Hilton,IND,359,386,23.40%,26.10%,120,"1,270","1,339",6,63%,0,6/150
A.Thielen,MIN,341,335,15.20%,14.80%,153,"1,373","1,497",9,74%,1,3-Jan
K.Allen,LAC,320,296,18.10%,15.70%,136,"1,196","1,320",6,71%,1,15-Jan
B.Cooks,LAR,318,313,21.50%,21.00%,117,"1,205","1,227",5,68%,1,3/124
R.Woods,LAR,316,301,17.50%,16.10%,130,"1,219","1,319",6,66%,0,18-Apr
T.Boyd,CIN,305,310,24.10%,24.70%,108,"1,028","1,125",7,70%,0,0/0
M.Williams,LAC,262,246,39.20%,36.10%,66,664,797,10,65%,0,9-Jan
A.Jeffery,PHI,251,270,21.10%,23.60%,92,840,977,6,71%,1,Apr-93
K.Golladay,DET,250,225,13.30%,10.70%,119,"1,063","1,150",5,59%,1,5/105
D.Adams,GB,246,264,6.10%,7.40%,169,"1,386","1,432",13,66%,0,Feb-47
J.Smith-Schuster,PIT,235,195,4.40%,1.50%,167,"1,426","1,465",7,67%,1,Mar-43
J.Gordon,2TM,193,195,20.40%,20.70%,71,737,762,4,58%,0,4/116
A.Brown,PIT,191,137,1.70%,-2.30%,168,"1,297","1,365",15,62%,0,2-Feb
A.Cooper,2TM,187,196,8.70%,9.80%,107,"1,005",989,7,70%,2,13-Jan
C.Ridley,ATL,167,175,10.20%,11.30%,92,821,840,10,70%,2,Feb-59
S.Watkins,KC,161,147,24.10%,20.80%,55,519,596,3,73%,0,Mar-34
C.Kupp,LAR,158,154,23.80%,22.80%,55,566,586,6,73%,0,0/0
A.J.Green,CIN,155,145,12.40%,10.90%,77,694,732,6,60%,2,Feb-52
D.Jackson,TB,153,147,12.20%,11.30%,74,774,724,4,55%,0,Mar-57
A.Humphries,TB,152,154,6.70%,6.90%,105,816,857,5,72%,0,0/0
O.Beckham,NYG,151,154,2.50%,2.80%,124,"1,052","1,036",6,62%,0,May-79
R.Higgins,CLE,143,142,22.30%,22.20%,53,572,543,4,74%,2,0/0
M.Jones,DET,142,134,15.70%,14.10%,62,508,617,5,56%,0,4/104
M.Sanu,ATL,141,154,6.40%,8.10%,94,838,811,4,70%,2,Mar-42
J.Nelson,OAK,130,114,5.70%,3.40%,88,739,771,3,72%,0,Feb-30
T.Williams,LAC,128,109,12.30%,8.60%,65,653,606,5,63%,2,0/0
K.Stills,MIA,127,105,12.60%,8.30%,64,553,596,6,58%,0,7-Jan
C.Hogan,NE,123,121,14.30%,13.80%,55,532,552,3,64%,0,Mar-46
J.Edelman,NE,122,124,1.70%,1.90%,108,850,870,6,69%,0,0/0
E.Sanders,DEN,113,114,2.00%,2.10%,99,877,797,4,72%,0,0/0
D.Baldwin,SEA,113,112,6.00%,5.90%,73,618,658,5,68%,0,13-Mar
D.J.Moore,CAR,109,126,4.10%,6.70%,82,788,688,2,67%,1,Mar-40
C.Godwin,TB,105,116,1.30%,2.80%,95,842,764,7,62%,4,23-Feb
C.Davis,TEN,104,90,-1.20%,-2.70%,112,891,891,4,58%,1,5/106
C.Beasley,DAL,100,128,2.10%,6.20%,87,672,700,3,75%,0,8-Jan
S.Shepard,NYG,97,111,-0.90%,0.80%,107,872,815,4,62%,0,4-Jan
D.Thomas,2TM,96,74,0.90%,-2.10%,89,677,715,5,66%,0,Feb-36
C.Sutton,DEN,95,87,1.30%,0.20%,84,704,693,4,50%,0,Apr-50
S.Roberts,OAK,86,68,4.70%,1.10%,64,494,532,2,70%,0,6-Jan
K.Bourne,SF,71,74,1.30%,1.90%,66,488,521,4,64%,0,0/0
A.Miller,CHI,71,87,3.90%,7.50%,54,423,455,7,61%,0,Jan-43
A.Robinson,CHI,62,103,-4.80%,0.40%,94,754,738,4,59%,1,Aug-83
J.Reynolds,LAR,62,52,1.90%,-0.40%,53,402,437,5,55%,0,0/0
C.Kirk,ARI,57,57,-1.80%,-1.80%,68,590,508,3,63%,0,17-Jan
C.Conley,KC,48,38,-1.00%,-3.30%,52,334,400,5,62%,2,Feb-57
Ta.Taylor,TEN,43,31,-2.70%,-5.50%,56,466,414,1,66%,1,0/0
A.Callaway,CLE,40,35,-6.30%,-7.10%,79,586,567,5,54%,1,Feb-71
C.Samuel,CAR,39,61,-5.40%,-1.20%,65,494,488,5,60%,0,Feb-50
D.Amendola,MIA,38,25,-6.20%,-8.40%,79,575,539,1,75%,0,0/0
J.Crowder,WAS,23,28,-6.20%,-4.90%,49,388,326,2,59%,0,13-Jan
W.Snead,BAL,21,20,-9.80%,-10.00%,95,651,651,1,65%,0,Feb-38
D.Moore,SEA,20,21,-7.40%,-7.30%,53,445,338,5,49%,2,0/0
T.Gabriel,CHI,19,35,-10.20%,-7.90%,93,688,631,2,72%,1,Mar-92
C.Rogers,IND,17,24,-9.70%,-8.40%,72,485,486,2,74%,0,5-Jan
D.Funchess,CAR,13,30,-10.50%,-8.00%,79,549,534,4,56%,0,0/0
R.Grant,IND,12,14,-9.80%,-9.30%,52,334,364,1,67%,0,5-Jan
M.Valdes-Scantling,GB,8,30,-11.30%,-7.70%,73,581,506,2,52%,0,Apr-72
S.Diggs,MIN,8,20,-12.00%,-11.00%,149,"1,021",971,9,68%,0,10-Jan
J.Doctson,WAS,7,21,-11.50%,-9.30%,78,532,508,2,56%,0,15-Feb
R.Anderson,NYJ,6,13,-11.80%,-10.90%,94,752,587,6,53%,2,0/0
Jo.Brown,BAL,4,-7,-12.20%,-13.60%,97,717,614,5,43%,0,Mar-76
M.Gallup,DAL,-9,15,-14.30%,-9.70%,68,507,415,2,49%,0,Feb-33
J.Wright,CAR,-12,6,-15.10%,-11.30%,59,447,368,1,73%,3,30-Jan
D.Moncrief,JAX,-14,0,-14.80%,-12.60%,89,672,537,3,54%,0,0/0
Z.Jones,BUF,-22,-11,-15.50%,-14.00%,102,652,601,7,55%,1,Feb-56
L.Fitzgerald,ARI,-23,-4,-15.30%,-13.10%,112,734,679,6,62%,0,2-Jan
D.Westbrook,JAX,-25,1,-15.70%,-12.60%,102,717,621,5,65%,2,0/0
