Player,Team,Salary Cap Value,Cash Spent
Mike Evans\EvanMi00,Buccaneers,18258000,18258000
Larry Fitzgerald\FitzLa00,Cardinals,16850000,12000000
Jarvis Landry\LandJa00,Browns,15500000,21500000
DeAndre Hopkins\HopkDe00,Texans,14000000,12500000
A.J. Green\GreeA.00,Bengals,13750000,10750000
T.Y. Hilton\HiltT.00,Colts,13000000,11000000
Julio Jones\JoneJu02,Falcons,12866666,13400000
Randall Cobb\CobbRa00,Packers,12718750,9500000
Doug Baldwin\BaldDo00,Seahawks,11893750,8750000
Allen Robinson\RobiAl02,Bears,11500000,15875000
DeSean Jackson\JackDe00,Buccaneers,11000000,11000000
Emmanuel Sanders\SandEm00,Broncos,10937500,8250000
Davante Adams\AdamDa01,Packers,10537500,7000000
Kenny Stills\StilKe00,Dolphins,9750000,8000000
Keenan Allen\AlleKe00,Chargers,9650000,7750000
Donte Moncrief\MoncDo00,Jaguars,9600000,9600000
Pierre Garcon\GarcPi00,49ers,9250000,6850000
Jordy Nelson\NelsJo00,Raiders,9168750,10600000
Antonio Brown\BrowAn04,Steelers,7955000,13875000
Sammy Watkins\WatkSa00,Chiefs,7800000,21800000
Mohamed Sanu\SanuMo00,Falcons,7525000,6125000
Travis Benjamin\BenjTr00,Chargers,7000000,5750000
Marvin Jones\JoneMa02,Lions,6408235,7000000
Marquise Goodwin\GoodMa00,49ers,6275000,6500000
Adam Thielen\ThieAd00,Vikings,6100000,5100000
Danny Amendola\AmenDa00,Dolphins,6000000,6000000
Corey Davis\DaviCo03,Titans,5771534,1619307
Jermaine Kearse\KearJe01,Jets,5550000,5000000
Taylor Gabriel\GabrTa00,Bears,5500000,8500000
Robert Woods\WoodRo02,Rams,5475038,9200038
Odell Beckham\BeckOd00,Giants,5459000,21459000
Brandin Cooks\CookBr00,Rams,5400000,11000000
Kevin White\WhitKe00,Bears,5270061,2693598
Torrey Smith\SmitTo02,Panthers,5000000,5000000
John Brown\BrowJo02,Ravens,5000000,5000000
Ryan Grant\GranRy01,Colts,5000000,5000000
Stefon Diggs\DiggSt00,Vikings,4963928,16907000
Albert Wilson\WilsAl02,Dolphins,4833333,7500000
Quincy Enunwa\EnunQu00,Jets,4714000,11914000
Marqise Lee,Jaguars,4656250,9250000
Demaryius Thomas\ThomDe03,Texans,4500000,4500000
Ted Ginn\GinnTe00,Saints,4500000,3500000
Mike Williams\WillMi07,Chargers,4488649,1362730
Seth Roberts\RobeSe00,Raiders,4450000,4600000
Tyler Lockett\LockTy00,Seahawks,4446688,11000000
Allen Hurns\HurnAl01,Cowboys,4375000,6000000
Cole Beasley\BeasCo00,Cowboys,4250000,3250000
Terrance Williams\WillTe01,Cowboys,4132353,2882353
Mike Wallace,Eagles,4000000,1915000
Paul Richardson\RichPa01,Redskins,4000000,11718750
Alshon Jeffery\JeffAl00,Eagles,3975000,7500000
John Ross\RossJo00,Bengals,3889969,1242994
Julian Edelman\EdelJu00,Patriots,3821078,2404412
Golden Tate\TateGo00,Eagles,3705882,3705882
DeVante Parker\ParkDe01,Dolphins,3460717,1918164
Michael Crabtree\CrabMi00,Ravens,3333333,8000000
Chris Hogan\HogaCh00,Patriots,3281250,3500000
Cordarrelle Patterson\PattCo00,Patriots,3250000,3250000
Tavon Austin\AustTa00,Cowboys,3000000,3000000
Nelson Agholor\AghoNe00,Eagles,2983709,1713732
Tyrell Williams\WillTy00,Chargers,2914000,2914000
Adam Humphries\HumpAd00,Buccaneers,2914000,2914000
Will Fuller\FullWi01,Texans,2772085,1374028
Josh Doctson\DoctJo00,Redskins,2740812,1363604
Laquon Treadwell\TreaLa00,Vikings,2709540,1353180
Cameron Meredith\MereCa00,Saints,2700000,4450000
Cody Latimer\LatiCo00,Giants,2500000,2500000
Brandon LaFell\LaFeBr00,Raiders,2312500,1750000
Matt Slater,Patriots,2200000,2600000
Chris Conley\ConlCh00,Chiefs,2085109,1907000
Jamison Crowder\CrowJa00,Redskins,2043406,1907000
D.J. Moore\MoorD.00,Panthers,2031148,6684592
Willie Snead\SneaWi00,Ravens,2000000,4200000
Calvin Ridley\RidlCa00,Falcons,1981951,6487804
JJ Nelson\NelsJJ00,Cardinals,1959450,1907000
T.J. Jones\JoneT.00,Lions,1907000,1907000
Josh Bellamy\BellJo02,Bears,1907000,1907000
Jaron Brown\BrowJa03,Seahawks,1775000,2750000
Devin Funchess\FuncDe00,Panthers,1756648,1187850
Alex Erickson\EricAl01,Bengals,1649666,1380000
Sterling Shepard\ShepSt00,Giants,1621247,990416
Jarius Wright\WrigJa02,Panthers,1566666,2900000
Zay Jones\JoneZa00,Bills,1540863,773173
Curtis Samuel\SamuCu00,Panthers,1466741,758348
Martavis Bryant\BryaMa00,Raiders,1458295,1458295
Michael Thomas\ThomMi05,Saints,1396084,915362
Phillip Dorsett\DorsPh00,Patriots,1394373,1394373
Darrius Heyward-Bey\HeywDa00,Steelers,1333334,1200000
Russell Shepard\ShepRu00,Giants,1250000,1250000
Courtland Sutton\SuttCo00,Broncos,1243987,3535948
Dante Pettis\PettDa00,49ers,1163738,3214952
Tyler Boyd\BoydTy00,Bengals,1161537,837179
Christian Kirk\KirkCh01,Cardinals,1071795,2847180
Anthony Miller\MillAn02,Bears,973400,2453600
JuJu Smith-Schuster\SmitJu00,Steelers,953586,655717
