Team,QB,RB,WR,TE,OL,Offense,DL,LB,S,CB,Defense
Steelers,"$21,004,781","$13,113,454","$17,778,997","$3,945,253","$39,055,012","$94,897,497","$15,833,947","$15,090,413","$12,475,138","$11,466,541","$54,866,039"
Raiders,"$17,066,663","$3,913,937","$21,228,435","$8,513,978","$43,133,182","$93,856,195","$20,946,096","$3,913,692","$11,365,174","$22,873,492","$59,098,454"
Falcons,"$27,422,800","$5,928,217","$28,103,286","$4,019,531","$25,953,036","$91,426,870","$29,464,935","$8,613,729","$6,018,899","$16,072,634","$60,170,197"
Redskins,"$27,543,600","$4,474,359","$10,894,949","$11,840,649","$35,081,227","$89,834,784","$12,451,986","$25,200,700","$6,606,862","$24,425,407","$68,684,955"
Cardinals,"$29,489,118","$3,666,976","$20,439,056","$6,097,469","$28,917,997","$88,610,616","$13,046,731","$19,589,711","$15,728,455","$21,047,533","$69,412,430"
Packers,"$21,034,437","$2,394,382","$31,564,129","$3,754,657","$28,553,585","$87,301,190","$14,712,089","$28,733,407","$11,727,962","$9,272,758","$64,446,216"
Eagles,"$7,948,686","$7,712,155","$20,433,394","$10,106,000","$34,671,590","$80,871,825","$36,720,213","$14,705,805","$14,776,850","$4,361,412","$70,564,280"
Bears ,"$21,278,625","$2,385,295","$14,645,439","$9,938,090","$32,573,770","$80,821,219","$14,795,376","$28,970,324","$7,234,912","$17,788,027","$68,788,639"
Panthers,"$22,710,632","$11,316,345","$7,593,965","$15,861,068","$22,836,833","$80,318,843","$34,906,236","$27,237,850","$7,693,071","$6,607,630","$76,444,787"
Saints,"$20,365,000","$6,649,958","$7,172,234","$13,281,931","$32,749,192","$80,218,315","$23,177,867","$11,368,168","$9,465,615","$5,035,764","$49,047,414"
Patriots,"$14,476,471","$11,010,522","$18,838,336","$12,917,262","$22,196,744","$79,439,335","$13,431,002","$15,560,517","$23,735,041","$16,603,309","$69,329,869"
Dolphins,"$33,058,282","$3,310,080","$9,776,316","$9,519,411","$22,688,764","$78,352,853","$41,429,457","$11,883,805","$11,301,524","$5,758,889","$70,373,675"
Ravens,"$26,742,000","$5,270,289","$16,212,624","$5,393,387","$23,346,656","$76,964,956","$8,609,329","$16,621,928","$12,619,611","$15,031,988","$52,882,856"
Cowboys,"$1,782,314","$7,879,602","$26,062,634","$16,565,097","$23,737,956","$76,027,603","$22,155,694","$13,571,954","$3,098,994","$10,844,663","$49,671,305"
Bengals,"$16,798,413","$7,569,296","$24,430,688","$9,413,806","$17,262,341","$75,474,544","$26,745,381","$17,613,896","$10,969,118","$22,900,422","$78,228,817"
Chargers,"$19,155,000","$5,059,879","$20,577,484","$8,986,982","$21,498,674","$75,278,019","$38,269,110","$7,831,143","$6,553,828","$9,329,846","$61,983,927"
Bills,"$10,238,211","$11,190,118","$6,496,909","$11,467,859","$35,796,366","$75,189,463","$24,044,258","$7,077,973","$7,686,153","$5,801,497","$44,609,881"
Colts,"$22,129,791","$6,704,574","$15,603,598","$10,039,875","$20,295,961","$74,773,799","$34,099,351","$5,100,805","$7,567,614","$4,398,800","$51,166,570"
Lions,"$17,047,200","$5,553,764","$18,671,297","$5,529,031","$23,027,789","$69,829,081","$29,979,802","$12,040,537","$11,021,745","$17,917,711","$70,959,795"
Giants,"$21,444,105","$6,846,041","$14,572,454","$4,806,305","$21,971,246","$69,640,151","$22,683,693","$28,902,142","$3,870,386","$27,976,841","$83,433,062"
Jaguars,"$10,071,983","$13,724,506","$13,512,773","$7,480,525","$24,024,663","$68,814,450","$45,148,547","$13,216,415","$15,958,866","$13,849,553","$88,173,381"
Texans,"$3,855,907","$9,441,681","$22,653,336","$10,632,622","$20,476,207","$67,059,753","$17,826,431","$24,809,067","$10,598,898","$21,425,963","$74,660,359"
Vikings,"$22,523,284","$6,109,029","$10,830,686","$7,988,864","$19,431,712","$66,883,575","$29,495,483","$10,635,653","$11,466,277","$21,360,634","$72,958,047"
Buccaneers,"$11,738,985","$8,969,129","$18,804,531","$3,178,912","$23,495,847","$66,187,404","$39,983,769","$8,819,460","$8,500,031","$17,764,740","$75,068,000"
Chiefs,"$21,205,288","$4,243,728","$5,474,701","$7,192,941","$25,611,612","$63,728,270","$16,972,578","$42,525,432","$14,053,421","$6,828,257","$80,379,688"
Broncos,"$3,920,973","$6,090,264","$25,054,318","$4,832,368","$23,704,519","$63,602,442","$18,109,284","$32,786,995","$8,775,903","$24,273,641","$83,945,823"
Rams,"$7,755,133","$6,953,354","$25,219,237","$3,237,501","$20,356,685","$63,521,910","$19,055,848","$33,738,804","$4,664,589","$22,677,275","$80,136,516"
Seahawks,"$15,443,870","$5,565,665","$8,724,467","$12,553,573","$21,118,436","$63,406,011","$29,783,258","$18,261,753","$20,890,487","$23,142,234","$92,077,732"
Titans,"$10,351,646","$8,746,428","$19,514,493","$7,486,458","$17,127,063","$63,226,088","$20,991,161","$32,215,404","$13,657,831","$15,276,846","$82,141,242"
Jets,"$8,334,184","$10,310,192","$8,058,956","$2,443,262","$29,743,163","$58,889,757","$30,004,586","$11,207,483","$6,921,694","$16,360,022","$64,493,785"
Browns,"$2,209,957","$4,470,494","$5,198,547","$3,254,760","$41,615,803","$56,749,561","$14,727,750","$21,613,135","$3,882,857","$7,163,759","$47,387,501"
49ers,"$1,280,189","$2,825,514","$13,826,473","$3,831,656","$25,655,347","$47,419,179","$26,769,176","$8,945,957","$9,535,769","$6,441,770","$51,692,672"
