Team,QB,RB,WR,TE,OL,Offense,DL,LB,S,CB,Defense,,,
Redskins,"$30,769,202","$9,922,038","$15,476,397","$18,200,338","$46,130,331","$120,498,306","$13,101,286","$26,046,903","$7,845,965","$23,915,521","$70,909,675",,,
Colts,"$30,615,000","$5,909,234","$34,237,761","$15,150,500","$34,162,903","$120,075,398","$26,516,835","$20,838,874","$12,654,776","$24,858,922","$84,869,407",,,
Packers,"$28,484,189","$3,653,499","$19,035,957","$17,718,298","$47,730,063","$116,622,006","$11,415,062","$24,936,975","$18,631,676","$8,836,355","$63,820,068",,,
Buccaneers,"$24,265,750","$5,367,256","$27,410,435","$12,387,538","$46,914,847","$116,345,826","$45,304,629","$26,046,064","$8,505,269","$10,759,514","$90,615,476",,,
Raiders,"$25,010,625","$10,960,341","$31,699,820","$4,762,098","$43,866,085","$116,298,969","$24,083,755","$11,867,050","$19,461,408","$14,745,704","$70,157,917",,,
Chargers,"$27,709,655","$9,026,668","$25,379,379","$7,992,098","$38,664,938","$108,772,738","$43,223,403","$14,918,142","$7,686,608","$17,003,333","$82,831,486",,,
Cowboys,"$3,886,905","$11,000,436","$24,485,376","$6,474,957","$61,265,442","$107,113,116","$42,321,249","$16,821,668","$7,576,954","$13,210,531","$79,930,402",,,
Eagles,"$15,414,521","$7,394,066","$31,805,139","$10,534,746","$41,869,446","$107,017,918","$31,523,811","$11,890,416","$23,837,000","$11,771,203","$79,022,430",,,
Falcons,"$18,723,000","$9,923,109","$28,444,781","$6,583,214","$43,264,611","$106,938,715","$30,006,614","$25,441,122","$12,687,357","$19,205,660","$87,340,753",,,
Titans,"$23,292,000","$10,304,371","$20,508,601","$9,678,488","$42,304,929","$106,088,389","$29,654,034","$22,531,448","$8,950,920","$31,040,372","$92,176,774",,,
Giants,"$29,725,617","$10,407,765","$18,819,842","$11,259,573","$35,028,108","$105,240,905","$8,796,318","$29,278,937","$9,812,751","$20,907,958","$68,795,964",,,
Bengals,"$18,109,080","$8,044,530","$32,308,204","$11,912,549","$34,741,556","$105,115,919","$34,511,327","$11,913,316","$8,518,392","$25,888,228","$80,831,263",,,
Saints,"$26,595,000","$6,385,359","$15,433,354","$7,708,498","$47,221,201","$103,343,412","$26,562,901","$20,498,965","$6,916,606","$18,206,078","$72,184,550",,,
Browns,"$12,327,741","$4,707,976","$38,243,264","$7,537,002","$37,937,560","$100,753,543","$46,415,964","$17,405,521","$17,293,310","$23,629,941","$104,744,736",,,
Vikings,"$30,880,000","$5,030,766","$28,111,936","$7,561,717","$26,864,097","$98,448,516","$42,138,564","$14,830,774","$16,338,245","$29,333,232","$102,640,815",,,
Chiefs,"$10,064,808","$6,802,793","$30,013,614","$13,391,400","$37,831,349","$98,103,964","$23,321,954","$18,625,290","$15,368,780","$12,649,281","$69,965,305",,,
49ers,"$21,379,024","$14,457,001","$12,688,280","$5,531,034","$43,859,623","$97,914,962","$49,996,811","$23,249,863","$8,579,784","$21,034,938","$102,861,396",,,
Bills,"$7,051,826","$15,128,956","$23,389,991","$11,807,933","$37,641,832","$95,020,538","$49,471,510","$12,156,511","$13,269,835","$10,566,125","$85,463,981",,,
Seahawks,"$28,161,766","$5,925,531","$17,450,479","$8,064,119","$35,406,112","$95,008,007","$23,378,659","$33,796,051","$10,736,440","$4,869,336","$72,780,486",,,
Lions,"$31,525,000","$3,948,752","$20,557,171","$8,350,471","$30,181,552","$94,562,946","$30,936,379","$17,606,278","$12,353,824","$26,175,410","$87,071,891",,,
Patriots,"$25,154,028","$12,726,919","$22,563,785","$7,262,268","$26,496,426","$94,203,426","$22,364,925","$24,837,717","$29,680,985","$19,775,087","$96,658,714",,,
Steelers,"$28,371,447","$3,151,755","$11,424,693","$11,003,589","$40,048,509","$93,999,993","$33,485,472","$30,359,405","$7,003,872","$22,340,322","$93,189,071",,,
Jets,"$10,089,476","$11,730,686","$19,513,345","$4,901,235","$47,493,242","$93,727,984","$34,839,258","$32,555,161","$10,830,042","$25,650,446","$103,874,907",,,
Rams,"$11,029,259","$13,854,737","$28,729,831","$6,368,701","$32,938,926","$92,921,454","$32,617,749","$26,036,961","$9,467,833","$28,782,790","$96,905,333",,,
Bears    ,"$14,584,337 ","$5,715,201","$31,405,752","$12,698,875","$23,079,926","$87,484,091","$20,929,999","$36,374,074","$6,674,672","$30,952,282","$94,931,027",,,
Broncos,"$21,559,694","$6,332,186","$19,918,919","$8,281,576","$30,754,302","$86,846,677","$21,686,348","$44,575,664","$12,964,260","$20,614,380","$99,840,652",,,
Panthers,"$25,200,545","$7,006,490","$15,317,809","$10,022,498","$28,385,937","$85,933,279","$58,425,971","$25,171,341","$10,237,580","$10,398,499","$104,233,391",,,
Jaguars,"$13,150,404","$11,153,202","$18,561,606","$6,634,131","$34,678,100","$84,177,443","$37,683,761","$11,263,384","$7,658,257","$34,403,776","$91,009,178",,,
Cardinals,"$9,259,814","$12,763,576","$18,528,831","$5,011,227","$35,640,886","$81,204,334","$10,857,560","$43,506,882","$9,194,366","$23,205,898","$86,764,706",,,
Texans,"$7,513,495","$12,348,124","$22,572,688","$4,253,032","$29,570,110","$76,257,449","$29,471,918","$38,335,367","$11,513,559","$33,379,687","$112,700,531",,,
Dolphins,"$7,424,898","$5,024,387","$30,323,178","$7,795,768","$17,392,690","$67,960,921","$17,691,151","$15,440,771","$35,780,529","$18,491,504","$87,403,955",,,
Ravens,"$4,832,820","$6,681,138","$16,190,069","$8,163,686","$28,013,425","$63,881,138","$21,347,000","$15,707,521","$23,333,963","$36,508,749","$96,897,233",,,
